"","Study_ID","Author_year","Paper_title","Publication_year","Journal","Country_firstAuthor","Review_type_claimed","Systematic_approach","Protocol","Meta_analysis","PFAS_focus","PFAS_one_many","MeSH_terms","Outcomes_PECOS","Outcomes","Outcome_category","Human_animal_environment","Lab_domestic_wildlife_mixed","Species_one_many","Environment_type","Study_inclusion_start","Study_inclusion_end","N_studies","Reporting_guideline","COI_statement","COI_present","Funding_statement","No_profit_funding","Industry_funding","Raw_data","Analysis_code","DOI","Species_scientific_name","Species_common_name","Class_scientific_name","PFAS_type","PFAS_abbreviations","PFAS_full_namee","PFAS_CAS_no","PFAS_group","PFAS_carbon_chain","Legacy_novel"
"1","S_001","Johnson_2014","The Navigation Guideâ€”Evidence-Based Medicine Meets Environmental Health: Systematic Review of Human Evidence for PFOA Effects on Fetal Growth",2014,"environmental health perspectives","USA","systematic review","Yes","No","Yes","Yes","One","Birth Weight / drug effects; Caprylates / blood; Caprylates / toxicity*; Environmental Health; Evidence-Based; Medicine; Female; Fetal Development / drug effects*; Fluorocarbons / blood; Fluorocarbons / toxicity*; Humans; Maternal Exposure / adverse effects*; Pregnancy","Yes","Fetal growth, birth weight, and/or other measures of size, such as length","Reproductive and Developmental Health","Humans",NA,NA,NA,NA,NA,18,"No","Yes","No","Yes","Yes","No","No","No","10.1289/ehp.1307893",NA,NA,NA,"PFOA","PFOA","Perfluorooctanoic acid","335-67-1","Perfluoroalkyl carboxylic acids (PFCA)",8,"legacy"
"2","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFBA","PFBA","Perfluorobutanoic/ perfluorobutyric acid","375-22-4","Perfluoroalkyl carboxylic acids (PFCA)",3,"legacy"
"3","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFPeA","PFPeA","Perfluoro-n-pentanoic acid","2706-90-3","Perfluoroalkyl carboxylic acids (PFCA)",5,"legacy"
"4","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFHpA","PFHpA","Perfluoroheptanoic acid","375-85-9","Perfluoroalkyl carboxylic acids (PFCA)",7,"legacy"
"5","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFOA","PFOA","Perfluorooctanoic acid","335-67-1","Perfluoroalkyl carboxylic acids (PFCA)",8,"legacy"
"6","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFNA","PFNA","Perfluorononanoic acid","375-95-1","Perfluoroalkyl carboxylic acids (PFCA)",9,"legacy"
"7","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFDA","PFDcA/ PFDeA/ PFDcA","Perfluorodecanoic acid","335-76-2","Perfluoroalkyl carboxylic acids (PFCA)",10,"legacy"
"8","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFUnDA","PFUnDA/PFUnA/ PFUA/ PFUdA","Perfluoroundecanoic acid","2058-94-8","Perfluoroalkyl carboxylic acids (PFCA)",11,"legacy"
"9","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFDoDA","PFDoA/PFDoDA","Perfluorododecanoic acid","307-55-1","Perfluoroalkyl carboxylic acids (PFCA)",12,"legacy"
"10","S_002","Winkens_2017","Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review",2017,"emerging contaminants","Sweden","critical review","No","No","No","Yes","Multiple","Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating","No","Early life exposure","Human Health Outcomes","Humans",NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes","No","No","No","10.1016/j.emcon.2017.05.001",NA,NA,NA,"PFTrA","PFTrDA/ PFTriDA/ PFTrA","Perfluorotridecanoic acid","72629-94-8","Perfluoroalkyl carboxylic acids (PFCA)",13,"legacy"
