Timestamp,Initials_data_extraction,Study_ID,Author_year,Paper_title,Publication_year,Journal,Country_firstAuthor,Review_type_claimed,Systematic_approach,Protocol,Meta_analysis,PFAS_focus,PFAS_one_many,MeSH_terms,Outcomes_PECOS,Human_animal_environment,Lab_domestic_wildlife_mixed,Species_one_many,Environment_type,Study_inclusion_start,Study_inclusion_end,N_studies,N_studies_comment,Reporting_guideline,Reporting_guideline_comment,COI_statement,COI_present,Funding_statement,No_profit_funding,Industry_funding,Funding_comment,Raw_data,Raw_data_comment,Analysis_code,Analysis_code_comment,DOI,initials_data_checked
4/07/2022 16:23,LR,S_001,Johnson_2014,The Navigation Guide-Evidence-Based Medicine Meets Environmental Health: Systematic Review of Human Evidence for PFOA Effects on Fetal Growth,2014,Environmental health perspectives,USA,systematic review,Yes,No,Yes,Yes,One,Birth Weight / drug effects; Caprylates / blood; Caprylates / toxicity*; Environmental Health; Evidence-Based; Medicine; Female; Fetal Development / drug effects*; Fluorocarbons / blood; Fluorocarbons / toxicity*; Humans; Maternal Exposure / adverse effects*; Pregnancy,"effects on fetal growth, birth weight, and/or other measures of size, such as length",Humans,NA,NA,NA,NA,NA,18,"18 in SR, 9 in MA",No,NA,Yes,No,Yes,Yes,No,U.S. EPA,No,NA,No,NA,10.1289/ehp.1307893,ML
4/19/2022 15:49:30,LR,S_002,Winkens_2017,Early life exposure to per- and polyfluoroalkyl substances (PFASs): A critical review,2017,Emerging Contaminants,Sweden,critical review,No,No,No,Yes,Multiple,Humans; Child; Infant; Adult; Female; Pregnancy; perfluorooctane sulfonic acid; perfluorooctanoic acid; Fluorocarbons; Prenatal Exposure Delayed Effects; Breast Feeding; Biological Monitoring; Birth Cohort; Cross-Sectional Studies; Placenta; Dust; Body Weight; Eating,NA,Humans,NA,NA,NA,NA,NA,NA,List of studies not provided,No,NA,No,NA,Yes,Yes,No,Grant number: 2012-3283-23680-71,No,NA,No,NA,10.1016/j.emcon.2017.05.001,ML
4/19/2022 16:08:55,LR,S_003,Stanifer_2018,Perfluorinated Chemicals as Emerging Environmental Threats to Kidney Health - A Scoping Review,2018,Clinical Journal of the American Society of Nephrology,USA,scoping review,Yes,No,No,Yes,Multiple,Environmental Exposure / adverse effects*; Environmental Pollutants / adverse effects*; Fluorocarbon Polymers / adverse effects*; Humans; Kidney Diseases / chemically induced*,NA,Humans,NA,NA,NA,1990,2018,74,NA,No,NA,No,NA,No,NA,NA,NA,No,NA,No,NA,10.2215/CJN.04670418,ML
4/20/2022 10:03:10,LR,S_004,Ballesteros_2017,Exposure to perfluoroalkyl substances and thyroid function in pregnant women and children: A systematic review of epidemiologic studies,2017,Environment international,Spain,systematic review,Yes,No,No,Yes,Multiple,Adolescent; Alkanesulfonic Acids / toxicity; Caprylates / toxicity*; Child; Environmental Exposure*; Environmental Pollutants / toxicity*; Female; Fluorocarbons / toxicity*; Humans; Male; Pregnancy; Thyroid Gland / drug effects*,"TH levels (thyroid-stimulating hormone [TSH], total triiodothyronine [TT3], free T3 [FT3], thyroxin [T4], and free T4 [FT4]) or thyroid dysfunctions.",Humans,NA,NA,NA,NA,2015,10,NA,Yes,STROBE statement checklist,Yes,No,No,NA,NA,NA,No,NA,No,NA,10.1016/j.envint.2016.10.015,ML
4/20/2022 10:29:00,LR,S_005,Caserta_2011,Environment and women's reproductive health,2011,Human reproduction,Italy,systematic review,Yes,No,No,No,Multiple,"Endocrine Disruptors / toxicity*; Environmental Monitoring; Epidemiological Monitoring; Female; Humans; Infertility, Female / chemically induced*; Infertility, Female / epidemiology; Maternal Exposure*; Pregnancy; Pregnancy Outcome; Risk Factors",NA,Humans,NA,NA,NA,NA,2010,NA,List of studies not provided,No,NA,No,NA,Yes,Yes,No,"""The authors acknowledge the support of the project Study in model areas on the environmental and health impact of some emerging chemical contaminants (endocrine disrupters): living environment, reproductive outcomes and repercussions in childhood (PREVIENI) (http://www.iss.it/prvn) funded by the Italian Ministry for Environment and Protection of Territory and Sea.""",No,NA,No,NA,10.1093/humupd/dmq061,ML
4/20/2022 11:02:14,LR,S_006,Mohanto_2021,Life-Time Environmental Chemical Exposure and Obesity: Review of Epidemiological Studies Using Human Biomonitoring Methods,2021,Frontiers in endocrinology,Japan,review,Yes,No,No,No,Multiple,Adolescent; Adult; Age Factors; Aged; Aging / drug effects; Aging / physiology; Child; Environmental Exposure / adverse effects; Environmental Exposure / statistics & numerical data; Environmental Pollutants / toxicity*; Epidemiologic Studies; Female; Growth and Development / drug effects*; Humans; Male; Obesity / epidemiology*; Obesity / etiology; Pregnancy,NA,Humans,NA,NA,NA,2006,2020,106,NA,No,NA,Yes,NA,Yes,Yes,No,"""This research was conducted with the support of the Grants-inAid for Scientific Research 19H01078 and 19H03888 provided by the Japan Society for the Promotion of Science (JSPS).""",No,NA,No,NA,10.3389/Ffendo.2021.778737,ML
4/26/2022 10:34:14,LR,S_008,Liu_2018,Perfluorooctanoic Acid (PFOA) Exposure in Early Life Increases Risk of Childhood Adiposity: A Meta-Analysis of Prospective Cohort Studies,2018,International journal of environmental research and public health,China,meta-analysis,Yes,No,Yes,Yes,One,"Adiposity / drug effects*; Body Mass Index; Caprylates / toxicity*; Child; Environmental Pollutants / toxicity*; Fluorocarbons / toxicity*; Humans; Models, Statistical; Pediatric Obesity / chemically induced*; Prospective Studies","Childhood overweight, obesity or body mass index (BMI).",Humans,NA,NA,NA,2012,2018,10,10,No,NA,Yes,No,Yes,No,No,"""This research received no external funding.""",No,NA,No,NA,10.3390/ijerph15102070,ML
4/26/2022 13:27:27,LR,S_010,Wambaugh_2013,Dosimetric Anchoring of In Vivo and In Vitro Studies for Perfluorooctanoate and Perfluorooctanesulfonate,2013,Toxicological sciences,USA,meta-analysis,No,No,Yes,Yes,Multiple,"Alkanesulfonic Acids / pharmacokinetics; Alkanesulfonic Acids / toxicity*; Animals; Caprylates / pharmacokinetics; Caprylates / toxicity*; Dose-Response Relationship, Drug; Female; Fluorocarbons / pharmacokinetics; Fluorocarbons / toxicity*; In Vitro Techniques; Macaca fascicularis; Male; Mice; Mice, Inbred C57BL; Rats; Rats, Sprague-Dawley",NA,Animals,Lab,Multiple,NA,NA,NA,22,In vivo toxicity studies: 9 studies on PFOA and 13 studies on PFOS. In vivo PK studies: 6 studies on PFOA and 4 studies on PFOS.,No,NA,No,NA,Yes,Yes,No,"""U.S. EPA through its Office of Research and Development funded and managed the research""",Yes,Supplemental tables 3-9 in supplemental materials. Raw data not in computer-readable format.,No,Only R code for converting estimated parameters to model parameters and C code for calculating derivative of concentration with respect to time were provided (Appendix A in supplemental materials),10.1093/toxsci/kft204,ML
4/26/2022 14:17:31,LR,S_011,Pic�_2011,Perfluorinated Compounds in Food: A Global Perspective,2011,Critical reviews in food science and nutrition,Spain,comprehensive review,No,No,No,Yes,Multiple,"Chromatography, Liquid; Environmental Monitoring / methods*; Environmental Pollutants / chemistry; Fluorocarbons / analysis*; Food Analysis; Food Contamination / analysis*; Humans; Risk Assessment; Tandem Mass Spectrometry",NA,Humans,NA,NA,NA,2004,2010,NA,The review reports the most selected examples from the literature in Table 3 but it does not provide the number of total included studies,No,NA,No,NA,Yes,Yes,No,This review was supported by the Spanish Ministry of Science and Innovation and it was partly funded by Sand University.,No,NA,No,NA,10.1080/10408391003721727,ML
4/27/2022 10:43:13,LR,S_012,Moore_2022,The Association between ADHD and Environmental Chemicals-A Scoping Review,2022,International journal of environmental research and public health,Finland,scoping review,Yes,No,No,No,Not specified,Attention Deficit Disorder with Hyperactivity* / chemically induced; Attention Deficit Disorder with Hyperactivity* / epidemiology; Biological Monitoring; Environmental Exposure / adverse effects; Environmental Exposure / analysis; Flame Retardants* / analysis; Humans; Mercury* / analysis; Pesticides* / analysis,NA,Humans,NA,NA,NA,2010,NA,NA,"""The included articles have been published since 2010. However, reviews or meta-analyses published since 2010 also include studies published earlier.""",No,NA,Yes,No,Yes,Yes,No,"""HBM4EU has received funding from EU/Horizon 2020 Programme Contract No. 733032 HBM4EU""",No,NA,No,NA,10.3390/ijerph19052849,ML
