key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-421819839,Temporal trends of contaminants in Arctic human populations,2018,1,1,,,,,,"Abass K., Emelyanova A., Rautio A.",,,,,"The first Arctic Monitoring and Assessment Programme (AMAP) report was published in 1998 and followed by three assessment reports of human health (AMAP 2003, 2009 and 2015). The focus area of the AMAP reports was to monitor levels of environmental contaminants in the Arctic and to assess the health effects connected with detected levels in Arctic countries. This review gives an overview of temporal trends of contaminants and their health effects in humans of the Arctic based on data published by AMAP, as well as Russian scientific literature. Several time series of 31 contaminants in humans of the Arctic from different cohorts are reported. The lengths of time series and periods covered differ from each other. International restrictions have decreased the levels of most persistent organic pollutants in humans and food webs. Percentage changes for contaminants in human biological matrices (blood samples from children, mothers and males and breast milk samples) for the period of sampling showed declining trends in most of the monitored Arctic locations, with the exception of oxychlordane, hexachlorobenzene (HCB), 2,2′,4,4′,5,5′-hexabromodiphenyl ether (PBDE153) and perfluorinated compounds (PFCs). © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1007/s11356-018-2936-8,Humanities;Humanism;Humans,,
rayyan-421819841,Understanding the impact of perfluorinated compounds on cardiovascular diseases and their risk factors: A meta‐analysis study,2021,1,1,,,,,,"Abdullah Soheimi S.S., Abdul Rahman A., Abdul Latip N., Ibrahim E., Sheikh Abdul Kadir S.H.",,,,,"Perfluorinated compounds (PFCs) are non‐biodegradable synthetic chemical compounds that are widely used in manufacturing many household products. Many studies have reported the association between PFCs exposure with the risk of developing cardiovascular diseases (CVDs). However, those reports are still debatable, due to their findings. Thus, this review paper aimed to analyse the association of PFCs compound with CVDs and their risk factors in humans by systematic review and meta‐analysis. Google Scholar, PubMed and ScienceDirect were searched for PFCs studies on CVDs and their risk from 2009 until present. The association of PFCs exposure with the prevalence of CVDs and their risk factors were assessed by calculating the quality criteria, odds ratios (ORs), and 95% confidence intervals (CIs). CVDs risk factors were divided into serum lipid profile (main risk factor) and other known risk factors. The meta‐analysis was then used to derive a combined OR test for heterogeneity in findings between studies. Twenty‐nine articles were included. Our meta‐analysis indicated that PFCs exposure could be associated with CVDs (Test for overall effect: z= 2.2, p = 0.02; Test for heterogeneity: I2 = 91.6%, CI = 0.92–1.58, p &lt; 0.0001) and their risk factors (Test for overall effect: z= 4.03, p &lt; 0.0001; Test for heterogeneity: I2 = 85.8%, CI = 1.00– 1.14, p &lt; 0.0001). In serum lipids, total cholesterol levels are frequently reported associated with the exposure of PFCs. Among PFCs, perfluorooctanoic acid (PFOA) and perfluorooctane sulfonic acid (PFOS) exposure increased the risk of CVDs than other types of PFCs. Although the risk of PFOA and PFOS were positively associated with CVDs and their risk factors, more observational studies shall be carried out to identify the long‐term effects of these contaminants in premature CVDs development in patients. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.3390/ijerph18168345,Cardiovascular Diseases;Risk Factors,,
rayyan-421819844,"An overview of per-and polyfluoroalkyl substances (Pfas) in the environment: Source, fate, risk and regulations",2020,1,1,,,,,,"Abunada Z., Alazaiza M.Y.D., Bashir M.J.K.",,,,,"The current article reviews the state of art of the perfluoroalkyl and polyfluoroalkyl substances (PFASs) compounds and provides an overview of PFASs occurrence in the environment, wildlife, and humans. This study reviews the issues concerning PFASs exposure and potential risks generated with a focus on PFAS occurrence and transformation in various media, discusses their physicochemical characterization and treatment technologies, before discussing the potential human exposure routes. The various toxicological impacts to human health are also discussed. The article pays particular attention to the complexity and challenging issue of regulating PFAS compounds due to the arising uncertainty and lack of epidemiological evidence encountered. The variation in PFAS regulatory values across the globe can be easily addressed due to the influence of multiple scientific, technical, and social factors. The varied toxicology and the insufficient definition of PFAS exposure rate are among the main factors contributing to this discrepancy. The lack of proven standard approaches for examining PFAS in surface water, groundwater, wastewater, or solids adds more technical complexity. Although it is agreed that PFASs pose potential health risks in various media, the link between the extent of PFAS exposure and the significance of PFAS risk remain among the evolving research areas. There is a growing need to address the correlation between the frequency and the likelihood of human exposure to PFAS and the possible health risks encountered. Although USEPA (United States Environmental Protection Agency) recommends the 70 ng/L lifetime health advisory in drinking water for both perfluorooctane sulfonate (PFO) perfluorooctanoic acid (PFOA), which is similar to the Australian regulations, the German Ministry of Health proposed a health-based guidance of maximum of 300 ng/L for the combination of PFOA and PFOS. Moreover, there are significant discrepancies among the US states where the water guideline levels for the different states ranged from 13 to 1000 ng L−1 for PFOA and/or PFOS. The current review highlighted the significance of the future research required to fill in the knowledge gap in PFAS toxicology and to better understand this through real field data and long-term monitoring programs. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.3390/w12123590,"Social Control, Informal;Social Control, Formal",,
rayyan-421819853,"The impact of perfluoroalkyl substances on pregnancy, birth outcomes, and offspring development: a review of data from mouse models",2022,1,1,,,,,,"Aghaei Z., Steeves K.L., Jobst K.J., Cahill L.S.",,,,,"Per- and polyfluoroalkyl substances (PFASs) such as perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS) are persistent in the environment and bioaccumulate in wildlife and humans, potentially causing adverse health effects at all stages of life. Studies from human pregnancy have shown that exposure to these contaminants are associated with placental dysfunction and fetal growth restriction; however, studies in humans are confounded by genetic and environmental factors. Here, we synthesize the available results from mouse models of pregnancy to show the causal effects of prenatal exposure to PFOA and PFOS on placental and fetal development and on neurocognitive function and metabolic disorders in offspring. We also propose gaps in the present knowledge and provide suggestions for future research studies. © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of Society for the Study of Reproduction. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1093/biolre/ioab223,Pregnancy;Mice,,
rayyan-421819857,"The environmental distribution and removal of emerging pollutants, highlighting the importance of using microbes as a potential degrader: A review",2022,1,1,,,,,,"Ahmad H.A., Ahmad S., Cui Q., Wang Z., Wei H., Chen X., Ni S.-Q., Ismail S., Awad H.M., Tawfik A.",,,,,"Emerging pollutants (EPs) create a worldwide concern owing to their low concentration and severe toxicity to the receptors. The prominent emerging pollutants categories as pharmaceutical and personal care product, plasticizer, surfactants, and persistent organic pollutants. Typically, EPs are widely disseminated in the aquatic ecosystem and capable of perturbing the physiology of water bodies as well as humans. The primary sources of EPs in the environment include anthropogenic release, atmospheric deposition, untreated or substandard treated wastewater, and extreme weather events. Intensive research has been done covering the environmental distribution, ecological disturbance, fate, and removal of EPs in the past decades. However, a systematic review on the distribution of EPs in the engineered and natural aquatic environment and the degradation of different EPs by using anaerobic sludge, aerobic bacteria, and isolated strains are limited. This review article aims to highlight the importance, application, and future perceptions of using different microbes to degrade EPs. Overall, this review article illustrates the superiority of using non-cultivable and cultivable microbes to degrade the EPs as an eco-friendly approach. Practically, the outcomes of this review paper will build up the knowledge base solutions to remove EPs from the wastewater. © 2021 Elsevier B.V.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1016/j.scitotenv.2021.151926,,,
rayyan-421819886,Endocrine disrupting chemicals and thyroid cancer: An overview,2021,1,1,,,,,,"Alsen M., Sinclair C., Cooke P., Ziadkhanpour K., Genden E., van Gerwen M.",,,,,"Endocrine disruptive chemicals (EDC) are known to alter thyroid function and have been associated with increased risk of certain cancers. The present study aims to provide a comprehensive overview of available studies on the association between EDC exposure and thyroid cancer. Relevant studies were identified via a literature search in the National Library of Medicine and National Institutes of Health PubMed as well as a review of reference lists of all retrieved articles and of previously published relevant reviews. Overall, the current literature suggests that exposure to certain congeners of flame retardants, polychlorinated biphenyls (PCBs), and phthalates as well as certain pesticides may potentially be associated with an increased risk of thyroid cancer. However, future research is urgently needed to evaluate the different EDCs and their potential carcinogenic effect on the thyroid gland in humans as most EDCs have been studied sporadically and results are not consistent. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.3390/toxics9010014,Thyroid Neoplasms;Thyroid Gland,,
rayyan-421819889,Analysis of emerging and related pollutants in aquatic biota,2020,1,1,,,,,,"Álvarez-Ruiz R., Picó Y.",,,,,"Water bodies cover approximately 70 % of the earth´s surface, making them ecosystems with a high environmental value and the habitat for numerous species of flora and fauna. Emerging pollutants (EPs) are ubiquitous anthropogenic compounds of environmental concern that can be found at different concentration levels in matrices such as sediment, water and aquatic biota. In addition, EPs can be bioaccumulated and biomagnified, inducing adverse effects on biota, and posing a risk to humans when contaminated biota is consumed. Unlike abiotic matrices, the occurrence of EPs in aquatic biota has not been widely studied. This is probably because their complexity, due to the presence of lipids, proteins and other organic compounds, makes the extraction and analysis of EPs difficult. This review gathers the most relevant analytical methods published between 2014 and 2019, comparing them and evaluating their strengths and weaknesses. It is intended to provide a better understanding of the development of new and improved methods, and to be a reference for researchers who are looking for the best methodology for their studies. © 2020 Elsevier B.V.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1016/j.teac.2020.e00082,,,
rayyan-421819890,Human biomonitoring of emerging pollutants through non-invasive matrices: State of the art and future potential,2014,1,1,,,,,,"Alves A., Kucharska A., Erratico C., Xu F., Den Hond E., Koppen G., Vanermen G., Covaci A., Voorspoels S.",,,,,"Human biomonitoring (HBM) is a scientific technique that allows us to assess whether and to what extent environmental pollutants enter humans. We review here the current HBM efforts for organophosphate esters, emerging flame retardants, perfluoroalkyl substances, and phthalate esters. Use of some of these chemicals has already been banned or restricted; they are regularly detected in the environment, wildlife, and human matrices. Traditionally, blood and urine collection have been widely used as sampling methods. New non-invasive approaches (e.g., saliva, hair, nails) are emerging as valid alternatives since they offer advantages with respect to sampling, handling, and ethical aspects, while ensuring similar reliability and sensitivity. Nevertheless, the identification of biomarkers of exposure is often difficult because chemicals may be metabolized in the human body. For many of the above-mentioned compounds, the mechanisms of the favorable metabolization pathways have not been unraveled, but research on important metabolites that could be used as biomarkers of exposure is growing. This review summarizes the state of the art regarding human exposure to, (non-invasive) HBM of, and metabolism of major organophosphate esters, emerging flame retardants, perfluoroalkyl substances, and phthalate esters currently detected in the environment. [Figure not available: see fulltext.] © 2014 Springer-Verlag Berlin Heidelberg.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1007/s00216-014-7748-1,Humanism;Humans;Humanities;Environmental Monitoring,,
rayyan-421819898,Perfluoroalkyl acids and related chemistries - Toxicokinetics and modes of action,2008,1,1,,,,,,"Andersen M.E., Butenhoff J.L., Chang S.-C., Farrar D.G., Kennedy Jr. G.L., Lau C., Olsen G.W., Seed J., Wallace K.B.",,,,,"The perfluoroalkyl acid salts (both carboxylates and sulfonates, hereafter designated as PFAAs) and their derivatives are important chemicals that have numerous consumer and industrial applications. However, recent discoveries that some of these compounds have global distribution, environmental persistence, presence in humans and wildlife, as well as toxicity in laboratory animal models, have generated considerable scientific, regulatory, and public interest on an international scale. The Society of Toxicology Contemporary Concepts in Toxicology Symposium, entitled ""Perfluoroalkyl Acids and Related Chemistries: Toxicokinetics and Modes-of-Action Workshop"" was held February 14-16, 2007 at the Westin Arlington Gateway, Arlington, VA. In addition to the Society of Toxicology, this symposium was sponsored by 3M Company, DuPont, Plastics Europe, and the U.S. Environmental Protection Agency. The objectives of this 3-day meeting were to (1) provide an overview of PFAA toxicity and description of recent findings with the sulfonates, carboxylates, and telomer alcohols; (2) address the toxicokinetic profiles of various PFAAs among animal models and humans, and the biological processes that are responsible for these observations; (3) examine the possible modes of action that determine the PFAA toxicities observed in animal models, and their relevance to human health risks; and (4) identify the critical research needs and strategies to fill the existing informational gaps that hamper risk assessment of these chemicals. This report summarizes the discourse that occurred during the symposium. © The Author 2007. Published by Oxford University Press on behalf of the Society of Toxicology. All rights reserved.","RAYYAN-INCLUSION: {""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1093/toxsci/kfm270,,,
rayyan-421819905,Current progress in the environmental analysis of poly- and perfluoroalkyl substances (PFAS),2022,1,1,,,,,,"Androulakakis A., Alygizakis N., Bizani E., Thomaidis N.S.",,,,,"Per- and polyfluoroalkyl substances (PFASs) are a class of persistent organic pollutants (POPs). They are widely used in industrial and consumer applications and are known for their persistence, long-distance migration and toxicity. Various PFASs have been manufactured and distributed over the years at a global scale. Decades of relevant research on these emerging contaminants has revealed that PFASs are bioaccumulative and possibly carcinogenic to animals as well as humans. Following regulations and public concern about their impact on ecosystems and uncertain environmental fate, some legacy PFASs have been banned in some regions e.g. Europe, and their industrial production has switched to alternative fluoroalkyl substances. Recently, novel PFAS classes have been identified in numerous environmental matrices. The high variety of legacy and emerging PFASs across the ecosystems is alarming and calls for an efficient monitoring strategy for the quantitative determination of known substances as well as the elucidation and discovery of new compounds. This is crucial for PFAS management and risk assessment in the environment and merits the attention of regulators. This review reports and discusses the most recent analytical method development for PFASs in air, water, abiotic solid matrices and biological matrices. Various instrumental analysis techniques and screening approaches are presented, explored, and compared on the basis of their efficiency and applicability, together with sampling, pre-treatment and extraction methods. Additionally, promising non-target and non-specific approaches are addressed as the key-element in future PFAS analysis. © 2022 The Author(s). Published by the Royal Society of Chemistry.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",10.1039/d2va00147k,"RNA, Messenger;Polyglactin 910;Poly(A)-Binding Protein II;Poly(ADP-ribose) Polymerases;Poly(A)-Binding Proteins;Poly I-C;Poly A-U",,
