Title,Authors,Year,Source title,Abstract,Author Keywords,Index Keywords,Publisher
Microbial biotransformation of aqueous film-forming foam derived polyfluoroalkyl substances,"Choi Y.J., Helbling D.E., Liu J., Olivares C.I., Higgins C.P.",2022,Science of the Total Environment,"Per- and polyfluoroalkyl substances (PFASs) used in aqueous film-forming foam (AFFF) comprise some perfluoroalkyl substances but a larger variety of polyfluoroalkyl substances. Despite their abundance in AFFF, information is lacking on the potential transformation of these polyfluoroalkyl substances. Due to the biological and chemical stability of the repeating perfluoroalkyl -(CF2)n- moiety common to all known AFFF-derived PFASs, it is not immediately evident whether the microbial biotransformation mechanisms observed for other organic contaminants also govern the microbial biotransformation of polyfluoroalkyl substances. Herein, we aim to: 1) review the literature on the aerobic or anaerobic microbial biotransformation of AFFF-derived polyfluoroalkyl substances in environmental media; 2) compile and summarize proposed microbial biotransformation pathways for major classes of polyfluoroalkyl substances; 3) identify the dominant biotransformation intermediates and terminal biotransformation products; and 4) discuss these findings in the context of environmental monitoring and source allocation. This analysis revealed that much more is currently known about aerobic microbial biotransformation of polyfluoroalkyl substances, as compared to anaerobic biotransformation. Further, there are some similarities in microbial biotransformations of fluorotelomer and electrochemical fluorination-derived polyfluoroalkyl substances, but differences may be largely due to head group composition. Dealkylation, oxidation, and hydrolytic reactions appear to be particularly important for microbial biotransformation of AFFF-derived polyfluoroalkyl substances, and these biotransformations may lead to formation of some semi-stable intermediates. Finally, this review discusses key knowledge gaps and opportunities for further research. © 2022 Elsevier B.V.",Degradation database; Microbial degradation; Pathway; Polyfluorinated substance biotransformation,Chemical stability; Reaction intermediates; Aqueous film forming foams; Degradation database; Microbial biotransformations; Microbial degradation; Organic contaminant; Pathway; Perfluoroalkyl substances; Polyfluorinated substance biotransformation; Polyfluoroalkyl substances; Potential transformations; Biodegradation; aqueous solution; concentration (composition); microbial activity; oxic conditions; surfactant; biotransformation; dealkylation; environmental monitoring; fluorination; foam; human; hydrolysis; microbial degradation; oxidation; review; systematic review,Elsevier B.V.
Oral exposure to a hexafluoropropylene oxide trimer acid (HFPO-TA) disrupts mitochondrial function and biogenesis in mice,"Xie X., Zhou J., Hu L., Shu R., Zhang M., Sun L., Wu F., Fu Z., Li Z.",2022,Journal of Hazardous Materials,"Hexafluoropropylene oxide trimer acid (HFPO-TA) is reported to have hepatotoxicity, lipotoxicity, and cytotoxicity. In this study, the toxicological effects of HFPO-TA on mitochondrial function and biogenesis were studied. Mice were exposed to drinking water which contained either 2, 20, or 200 μg/L HFPO-TA. Results showed exposure to HFPO-TA induced disadvantageous physiological changes in mice, including increases in liver weight, altered cell morphology, and inflammatory responses. Specifically, exposure to 200 μg/L HFPO-TA increased mitochondria number, relative mitochondrial DNA (mtDNA) content, and mRNA levels of mitochondrial genes encoded by mtDNA. Significant increases in TFAM mRNA and protein levels were also observed. Liver metabolome analysis also showed exposure to 200 μg/L HFPO-TA further enhanced increases in metabolites and altered metabolic pathways that correlated with mitochondrial function, especially the production of ATP. HFPO-TA exposure increased protein expression of mitochondrial complex I-V, and the activities of key enzymes involved in TCA cycle (α-ketoglutarate dehydrogenase, citrate synthase, and succinate dehydrogenase). Furthermore, exposure to 200 μg/L HFPO-TA significantly up-regulating mRNA and protein levels of Opa1, Mfn1, Mfn2, Fis1, and Mff, but did not change Drp1. These findings suggest HFPO-TA could have detrimental effects on health of animals, particularly it was associated with disrupted mitochondrial energy metabolism. © 2022 Elsevier B.V.",Hexafluoropropylene oxide trimer acid; Metabolome; Mitochondrial biogenesis; Mitochondrial DNA,Biosynthesis; DNA; Mammals; Metabolism; Metabolites; Mitochondria; Physiological models; Potable water; Proteins; Hepatotoxicity; Hexafluoropropylene oxide; Hexafluoropropylene oxide trimer acid; Metabolomes; Mitochondrial biogenesis; Mitochondrial DNA; Mitochondrial function; mRNA levels; Oral exposure; Protein level; Oligomers; citrate synthase; drinking water; hexafluoropropylene oxide trimer acid; messenger RNA; mitochondrial complex ii; mitochondrial complex iv; mitochondrial complex v; mitochondrial DNA; oxoglutarate dehydrogenase; propylene oxide; reduced nicotinamide adenine dinucleotide dehydrogenase (ubiquinone); succinate dehydrogenase; ubiquinol cytochrome c reductase; unclassified drug; chemical compound; concentration (composition); drinking water; enzyme; enzyme activity; gene expression; metabolism; mitochondrial DNA; rodent; animal cell; animal experiment; animal model; animal tissue; Article; body weight; cell structure; citric acid cycle; controlled study; energy metabolism; histopathology; inflammation; liver cell; liver function; liver mitochondrion; liver weight; male; metabolism; metabolome; mitochondrial biogenesis; mitochondrial dynamics; mitochondrial gene; mitochondrion; mouse; mRNA expression level; nonhuman; protein expression; toxicology; upregulation,Elsevier B.V.
"A systematic review of emerging contaminants in the Greater Bay Area (GBA), China: Current baselines, knowledge gaps, and research and management priorities","Cundy A.B., Rowlands F.M., Lu G., Wang W.-X.",2022,Environmental Science and Policy,"Development of the Greater Bay area, China (GBA) has imposed significant pressures on ecosystems within the wider Pearl River Delta (PRD) system, including through inputs of contaminants from the GBA's rapidly expanding urban, industrial and agricultural activities. Here, we assess publication trends, sampling focus, and concentrations observed for a range of emerging contaminants (pharmaceutical and personal care products, pesticides, other endocrine disrupting chemicals, platinum group elements, and microplastics) in the GBA, via a systematic review of papers (n = 407) indexed in Science Direct, SpringerLink and Wiley Online databases. While emerging contaminants form the focus of increasing numbers of publications since 2006, they are understudied compared to more traditionally-measured contaminants (here, DDT and polycyclic aromatic hydrocarbons, PAHs). BisphenolA was the most widely studied of the emerging contaminants (n = 41 studies) in the GBA, followed by macrolides (n = 32 studies). While multiple point measurements with high precision and low detection limits have been reported for various emerging contaminants, these have not been integrated for management purposes. A relatively high percentage of studies present data from single deployments (48% of studies, despite strong seasonality in the PRD system), data coverage is variable spatially, and reported contaminant concentrations vary significantly (over one to four orders of magnitude). We assess the currently published knowledge under the Source-Pathway-Receptor contaminant linkage model and use this to identify (a) current research emphasis in relation to assessment of contaminant risk, and (b) key knowledge gaps around sources, pathways and receptors in the GBA system. © 2022 Elsevier Ltd",Emerging contaminants; Environmental baseline; Pearl River Delta; Pearl River Estuary; Risk management,"4,4' isopropylidenediphenol; chlorphenotane; chlorpyrifos; diclofenac; estradiol; macrolide; microplastic; perfluoro compound; pesticide; platinum; polycyclic aromatic hydrocarbon; pyrethroid; toxic substance; triclosan; bibliographic database; China; environmental management; human; limit of detection; microplastic pollution; publication; research priority; Review; risk assessment; seasonal variation; systematic review; water contamination",Elsevier Ltd
Pathways of organic micropollutants degradation in atmospheric pressure plasma processing – A review,"Topolovec B., Škoro N., Puаč N., Petrovic M.",2022,Chemosphere,"Concern of toxic compounds and their, potentially more harmful degradation products, present in aquatic environment alarmed scientific community and research on the development of novel technologies for wastewater treatment had become of great interest. Up to this date, many papers pointed out the challenges and limitations of conventional wastewater treatment and of some advanced oxidation processes. Advanced technologies based on the use of non-equilibrium or non-thermal plasma had been recognized as a possible solution for, not only degradation, but for complete removal of recalcitrant organic micropollutants. While previous review papers have been focused on plasma physics and chemistry of different types of discharges for few organic micropollutants, this paper brings comprehensive review of current knowledge on the chemistry and degradation pathways by using different non-thermal plasma types for several micropollutants’ classes, such as pharmaceuticals, perfluorinated compounds, pesticides, phenols and dyes and points out some major research gaps. © 2022 Elsevier Ltd",Advanced oxidation technologies; Degradation pathways; Non-equilibrium/non-thermal plasma types; Novel wastewater treatment procesess; Organic micropollutants; Removal,Aquatic organisms; Atmospheric pressure; Electric discharges; Reclamation; Wastewater treatment; Advanced oxidations technologies; Atmospheric pressure plasmas; Degradation pathways; Degradation products; Non equilibrium; Non-equilibrium/non-thermal plasma type; Nonthermal plasma; Novel wastewater treatment procesess; Organic micropollutants; Toxic compounds; Degradation; aquatic environment; atmospheric pressure; chemical pollutant; degradation; organic pollutant; oxidation; pollutant removal; wastewater; wastewater treatment,Elsevier Ltd
A comprehensive review on current technologies for removal of endocrine disrupting chemicals from wastewaters,"Azizi D., Arif A., Blair D., Dionne J., Filion Y., Ouarda Y., Pazmino A.G., Pulicharla R., Rilstone V., Tiwari B., Vignale L., Brar S.K., Champagne P., Drogui P., Langlois V.S., Blais J.-F.",2022,Environmental Research,"In the recent years, endocrine disrupting compounds (EDCs) has received increasing attention due to their significant toxic effects on human beings and wildlife by affecting their endocrine systems. As an important group of emerging pollutant, EDCs have been detected in various aquatic environments, including surface waters, groundwater, wastewater, runoff, and landfill leachates. Their removal from water resources has also been an emerging concern considering growing population as well as reducing access to fresh water resources. EDC removal from wastewaters is highly dependent on physicochemical properties of the given EDCs present in each wastewater types as well as various aquatic environments. Due to chemical, physical and physicochemical diversities in these parameters, variety of technologies consisting of physical, biological, electrochemical, and chemical processes have been developed for their removal. This review highlights that the effectiveness of EDC removal is highly dependent of selecting the appropriate technology; which decision is made upon a full wastewater chemical characterization. This review aims to provide a comprehensive perspective about all the current technologies used for EDCs removal from various aquatic matrices along with rising challenges such as the antimicrobial resistance gene transfer during EDC treatment. © 2021 The Authors",EDCs; Endocrine disruptors; Pollutants removal; Treatment technologies; Wastewater,adsorbent; antibiotic agent; carbon nanotube; endocrine disruptor; aqueous solution; detection method; endocrine disruptor; gene transfer; landfill; physicochemical property; pollutant removal; wastewater; wastewater treatment; activated sludge; adsorption; anaerobic sludge; antibiotic resistance; appropriate technology; Article; chlorination; electrocoagulation; filtration; gene transfer; human; lagoon; membrane technology; microalga; nonhuman; oxidation; ozonation; photocatalysis; physical chemistry; plasma gas; sanitation; static electricity; waste water management; water supply; water treatment,Academic Press Inc.
A review on per- and polyfluorinated alkyl substances (PFASs) in microplastic and food-contact materials,"Barhoumi B., Sander S.G., Tolosa I.",2022,Environmental Research,"Plastic, paper and cardboard are widely used as food contact materials (FCMs), due to its numerous favourable characteristics. However, they are usually coated with hazardous substances, such as per- and polyfluorinated alkyl substances (PFASs). PFASs, with its functional properties of oil- and water-repellency, can migrate from FCMs into the food and cause potential risk to human health. There are also increasing concerns about the harm that FCMs can cause to the environment. These concerns include accumulation of non-degradable plastics in the environment, generation of microplastics (MPs) and nanoplastics, and release of PFASs from FCMs. While many reviews have been conducted on PFASs in the environment, including their occurrence, fate, toxicity, biodegradation, migration in ecosystems and remediation technologies, a systematic review of PFASs in FCMs and MPs is currently lacking. In addition, our knowledge of the PFAS sorption processes on MPs is rather limited, and in particular their desorption processes. Thus, this review aims to (1) review the presence of various classes of PFASs in FCMs and their migration into food, (2) review the PFASs in MPs and summarize the sorption mechanisms, and factors that influence their sorption behaviour on MPs in the aquatic environment, and (3) identify the current research gaps and future research directions to predict the risks associated with the presence and sorption of PFASs in FCMs and MPs. © 2021 Elsevier Inc.",FCMs; Microplastics; Migration; PFAAs; Precursors; Sorption,acetic acid; alcohol derivative; carboxylic acid; fluorotelomer alcohol; inorganic compound; microplastic; nanoplastic; organofluorine derivative; organophosphate; perfluoro compound; phosphinic acid derivative; phosphonic acid derivative; polymer; sulfonic acid derivative; unclassified drug; biodegradation; chemical substance; desorption; health risk; mortality risk; plastic; risk; risk factor; adsorption; aquatic environment; biodegradation; butter; cereal; classification; dangerous goods; desorption; ecosystem restoration; ecotoxicology; environmental factor; fluorination; food; food packaging; health hazard; hydrophobicity; information retrieval; microplastic pollution; milk; nonhuman; pollution transport; Review; ScienceDirect; search engine; static electricity; Web of Science,Academic Press Inc.
Human exposure pathways to poly- and perfluoroalkyl substances (PFAS) from indoor media: A systematic review,"DeLuca N.M., Minucci J.M., Mullikin A., Slover R., Cohen Hubal E.A.",2022,Environment International,"Background: Human exposure to per- and polyfluoroalkyl substances (PFAS) has been primarily attributed to contaminated food and drinking water. There is information indicating other sources and pathways of exposure in residential environments, but few studies report relationships between these indoor media and human biomonitoring measurements. Methods: This study adapts existing systematic review tools and methodologies to synthesize evidence for PFAS exposure pathways from indoor environment media including consumer products, household articles, cleaning products, personal care products, and indoor air and dust. Studies were identified using innovative machine learning approaches and pathway-specific search strings to reduce time needed for literature search and screening. The included studies and systematic review were evaluated using tools modified specifically for exposure studies. The systematic review was conducted following a previously published protocol (DeLuca et al., 2021) that describes the systematic review methodology used in detail. Results: Only 7 studies were identified that measured the targeted subset of 8 PFAS chemicals in concordant household media (primarily house dust) and participant serum. Data extracted from the included studies were used to calculate exposure intake rates and estimate a percentage of occupant serum concentrations that could be attributed to the indoor exposure pathways. These calculations showed that exposure to PFOA, PFOS, PFNA, and PFHxS from contaminated house dust could account for 13%, 3%, 7%, and 25% of serum concentrations, respectively. Inhalation of PFAS in indoor air could account for less than 4% of serum PFOA concentrations and less than 2% of serum PFOS and PFNA concentrations. A risk of bias was identified due to participant profiles in most of the studies being skewed towards white, female, and higher socioeconomic status. Conclusions: Along with synthesizing evidence for estimated contributions to serum PFAS levels from indoor exposure media, this systematic review also identifies a consistent risk of bias across exposure study populations that should be considered in future studies. It highlights a major research gap and need for studies that measure concordant data from both indoor exposure media and participant serum and the need for continued research on exposure modeling parameters for many PFAS chemicals. © 2022",,,Elsevier Ltd
Non-targeted metabolomics and associations with per- and polyfluoroalkyl substances (PFAS) exposure in humans: A scoping review,"Guo P., Furnary T., Vasiliou V., Yan Q., Nyhan K., Jones D.P., Johnson C.H., Liew Z.",2022,Environment International,"Objective: To summarize the application of non-targeted metabolomics in epidemiological studies that assessed metabolite and metabolic pathway alterations associated with per- and polyfluoroalkyl substances (PFAS) exposure. Recent Findings: Eleven human studies published before April 1st, 2021 were identified through database searches (PubMed, Dimensions, Web of Science Core Collection, Embase, Scopus), and citation chaining (Citationchaser). The sample sizes of these studies ranged from 40 to 965, involving children and adolescents (n = 3), non-pregnant adults (n = 5), or pregnant women (n = 3). High-resolution liquid chromatography–mass spectrometry was the primary analytical platform to measure both PFAS and metabolome. PFAS were measured in either plasma (n = 6) or serum (n = 5), while metabolomic profiles were assessed using plasma (n = 6), serum (n = 4), or urine (n = 1). Four types of PFAS (perfluorooctane sulfonate (n = 11), perfluorooctanoic acid (n = 10), perfluorohexane sulfonate (n = 9), perfluorononanoic acid (n = 5)) and PFAS mixtures (n = 7) were the most studied. We found that alterations to tryptophan metabolism and the urea cycle were most reported PFAS-associated metabolomic signatures. Numerous lipid metabolites were also suggested to be associated with PFAS exposure, especially key metabolites in glycerophospholipid metabolism which is critical for biological membrane functions, and fatty acids and carnitines which are relevant to the energy supply pathway of fatty acid oxidation. Other important metabolome changes reported included the tricarboxylic acid (TCA) cycle regarding energy generation, and purine and pyrimidine metabolism in cellular energy systems. Conclusions: There is growing interest in using non-targeted metabolomics to study the human physiological changes associated with PFAS exposure. Multiple PFAS were reported to be associated with alterations in amino acid and lipid metabolism, but these results are driven by one predominant type of pathway analysis thus require further confirmation. Standardizing research methods and reporting are recommended to facilitate result comparison. Future studies should consider potential differences in study methodology, use of prospective design, and influence from confounding bias and measurement errors. © 2022",Exposome; Metabolomics; Perfluorinated compounds; Persistent organic pollutants; Polyfluoroalkyl substances,,Elsevier Ltd
How to investigate human health effects related to exposure to mixtures of per- and polyfluoroalkyl substances: A systematic review of statistical methods,"Rosato I., Zare Jeddi M., Ledda C., Gallo E., Fletcher T., Pitter G., Batzella E., Canova C.",2022,Environmental Research,"Background: Humans are exposed to several per- and polyfluoroalkyl substances (PFAS) daily; however, most previous studies have focused on individual PFAS. Although attention to effects of exposure to mixtures of PFAS has grown in recent years, there is no consensus on the appropriate statistical methods that can be used to assess their combined effect on human health. Objectives: We aim to perform a comprehensive review of the statistical methods used in the existing studies which evaluate the association between exposure to mixtures of PFAS and any adverse human health effect. Methods: The online databases PubMed, Embase and Scopus were searched for eligible studies, published during the last ten years (last search performed on April 08, 2021). Covidence software was used by two different reviewers to perform a title/abstract screening, followed by a full text revision of the selected papers. Results: A total of 3640 papers were identified, and after the screening process, 53 papers were included in the current review. Most of the studies were published between 2019 and 2021 and were conducted mainly in North America and Europe; more than half of the studies (28 out of 53) were conducted on mother and child pairs. WQS (Weighted Quantile Sum) Regression and BKMR (Bayesian Kernel Machine Regression) were used in 36 out of 53 papers to model mixtures’ effects. Health outcomes included in the studies are immunotoxicity (n = 8), fetal development (n = 7), neurodevelopment (n = 9), reproductive hormones (n = 6), thyroid hormones (n = 7), outcomes related to metabolic pathways (n = 16). Conclusion: Studies on human exposure to PFAS as complex mixtures and health consequences have substantially increased in the last few years. Based on our findings, we propose that addressing risk from PFAS mixtures will likely require combinations of approaches and implementation of constantly evolving statistical methods. Specific guidelines and tools for quality assessment and publication of mixture observational studies are warranted. © 2021",Chemical mixtures; Environmental exposure; Human health; Joint effect; per- and polyfluoroalkyl substances (PFAS),alkyl group; environmental chemical; perfluoroalkanoic acid; sex hormone; thyroid hormone; chemical substance; health impact; literature review; pollution exposure; public health; statistical analysis; adolescent; adult; aged; Bayes theorem; child; clinical evaluation; clinical feature; clinical outcome; controlled study; environmental exposure; Europe; female; fetus development; health hazard; homeostasis; hormone metabolism; human; immunotoxicity; k means clustering; least square analysis; male; nerve cell differentiation; nervous system development; North America; outcome assessment; population exposure; Review; risk assessment; structural equation modeling; systematic review; thyroid gland; Europe; North America,Academic Press Inc.
"Municipal solid waste management: Dynamics, risk assessment, ecological influence, advancements, constraints and perspectives","Vyas S., Prajapati P., Shah A.V., Varjani S.",2022,Science of the Total Environment,"Global energy consumption has been increasing in tandem with economic growth, putting pressure on the world's supply of renewable energy sources. Municipal Solid waste (MSW) has been reported contributing immensely to the improvement of a secure environment and renewable sources. Energy scarcity and conventional MSW disposal methods in developing countries lead towards many environmental and economic issues. Scientists have been able to experiment with various waste-to-energy conversion technologies in light of this situation. This communication highlights and reviews WtE technologies to convert MSW and other feedstocks into electricity, hydrogen gas, bioethanol along with other value added products like fertilizer(s), platform chemicals as an environmentally friendly products. This review comprehensively summarized the dynamics, risk assessment, ecological influence, advancements, constraints and perspectives altogether in field of municipal solid waste management and treatment. Stare-of-the-art information on ecological influence and risk assessment in handling and transportation of municipal solid waste has been provided. Advanced trends involved in remediation of emerging pollutants and resources obtained from municipal solid wastes have been uncovered. Lastly, this paper comprises constraints and perspectives for uncovering MSW based circular bioeconomy aspects. © 2021",Landfill; Risk assessment; Sustainable energy; Treatment technologies; Waste to energy,Developing countries; Economics; Energy policy; Energy utilization; Municipal solid waste; Renewable energy resources; Waste treatment; Dynamic risk assessments; Economic growths; Energy-consumption; Global energy; Municipal solid waste management; Renewable energy source; Renewable sources; Risks assessments; Treatment technologies; Waste to energy; Risk assessment; bioethanol; fertilizer; alternative energy; developing world; ecological approach; economic growth; environmental economics; landfill; municipal solid waste; risk assessment; waste disposal; ecosystem restoration; electricity; health hazard; landfill; Review; risk assessment; solid waste management; traffic and transport; pollutant; risk assessment; solid waste; waste disposal; waste management; Environmental Pollutants; Refuse Disposal; Risk Assessment; Solid Waste; Waste Management,Elsevier B.V.
