Authors,Title,Year,DOI,Link,Abstract,Index.Keywords
"Sanders D.F., Smith Z.P., Guo R., Robeson L.M., McGrath J.E., Paul D.R., Freeman B.D.",Energy-efficient polymeric gas separation membranes for a sustainable future: A review,2013,10.1016/j.polymer.2013.05.075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881559362&doi=10.1016%2fj.polymer.2013.05.075&partnerID=40&md5=4b74a8ac62aa9f8b1ae7f10e97525e90,"Over the past three decades, polymeric gas separation membranes have become widely used for a variety of industrial gas separations applications. This review presents the fundamental scientific principles underpinning the operation of polymers for gas separations, including the solution-diffusion model and various structure/property relations, describes membrane fabrication technology, describes polymers believed to be used commercially for gas separations, and discusses some challenges associated with membrane materials development. A description of new classes of polymers being considered for gas separations, largely to overcome existing challenges or access applications that are not yet practiced commercially, is also provided. Some classes of polymers discussed in this review that have been the focus of much recent work include thermally rearranged (TR) polymers, polymers of intrinsic microporosity (PIMs), room-temperature ionic liquids (RTILs), perfluoropolymers, and high-performance polyimides. © 2013 Elsevier Ltd. All rights reserved.",Energy efficiency; Gases; Ionic liquids; Materials; Membrane technology; Membranes; Polymers; Separation; Gas separation membrane; Industrial gas separation; Membrane fabrication; Polymers of intrinsic microporosities; Room temperature ionic liquids; Scientific principles; Solution-diffusion model; Structure/property relations; Gas permeable membranes
"Gong Y., Kato K.",Recent applications of trifluoroacetaldehyde ethyl hemiacetal for the synthesis of trifluoromethylated compounds,2004,10.2174/1385272043369683,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5744239017&doi=10.2174%2f1385272043369683&partnerID=40&md5=b0233e84fccec30fd2d97737db8e7df3,"In this review, recent application of trifluoroacetaldehyde ethyl hemiacetal (TFAE) in the preparation of α-trifluoromethyl alcohols and α-trifluoromethyl amines, especially by the direct regioselective and stereoselective substitution of TFAE and its derivatives like imines with various aromatic and heteroaromatic compounds, is reviewed. Moreover, some useful methods for preparing important potentially bioactive fluorinated compounds, such as o- and p-substituted fluoroalkylphenols and β-trifluoromethyl amino acids, are also introduced. © 2004 Bentham Science Publishers Ltd.",acetal derivative; acetaldehyde; alcohol derivative; alkyl group; amine; amino acid derivative; aromatic compound; dopamine derivative; fluorine derivative; imine; Lewis acid; methyl group; phenol derivative; polycyclic aromatic hydrocarbon; tryptophan derivative; tyrosine derivative; analytic method; biochemistry; catalysis; chemical analysis; chemical reaction; chemical structure; fluorination; Reformatsky reaction; review; stereochemistry; substitution reaction; synthesis
Anderson R.H.,The Case for Direct Measures of Soil-to-Groundwater Contaminant Mass Discharge at AFFF-Impacted Sites,2021,10.1021/acs.est.1c01543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106532620&doi=10.1021%2facs.est.1c01543&partnerID=40&md5=c16320a623aa2db5e94d5031df221805,"Many entities around the world are initiating massive field campaigns to characterize the environmental distribution of per- and polyfluoroalkyl substances (PFAS), particularly at aqueous film-forming foam (AFFF) impacted sites where historic point-source discharges occurred at the ground surface. Concurrently, many regulatory agencies are publishing criteria used in practice to define the ""nature and extent""of PFAS-impacted environmental media. Specific to the soil-to-groundwater transport pathway protective of the groundwater ingestion end point, these soil criteria (or screening values) are to date exclusively based on the traditional approach used for hydrophobic organics with a number of simplifying assumptions. Research has clearly contradicted these assumptions, yet alternative methodologies have yet to emerge from the literature. This Perspective provides a rationale for why alternative approaches are critically necessary and proposes the application of lysimetry as a practical solution to accurately assess PFAS transport within unsaturated vadose zone soils. Ultimately, there is an urgent need to justify soil remediation on the basis of groundwater protection and to prioritize remedial efforts in order to optimize limited fiscal resources. © Not subject to U.S. Copyright. Published 2021 by American Chemical Society.","Discharge (fluid mechanics); Groundwater; Groundwater resources; Soil conservation; Soil pollution; Soils; Surface discharges; Aqueous film forming foams; Environmental distribution; Ground water protection; Groundwater contaminants; Point source discharges; Polyfluoroalkyl substances; Simplifying assumptions; Traditional approaches; Groundwater pollution; ground water; organofluorine derivative; polyfluoroalkyl substance; toxic substance; unclassified drug; fluorocarbon; water; discharge; groundwater pollution; soil pollution; aqueous film forming foam; desorption; ecosystem restoration; environmental impact; evapotranspiration; foam; hydrophobicity; leaching; lysimetry; mass discharge; physical phenomena; plume; precipitation; Review; soil pollutant; soil pollution; toxic concentration; water contamination; water monitoring; water pollutant; soil; water pollutant; Fluorocarbons; Groundwater; Soil; Water; Water Pollutants, Chemical"
"Hemeon I., Bennet A.J.",Sialic acid and structural analogues: Stereoselective syntheses,2007,10.1055/s-2007-983723,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447558271&doi=10.1055%2fs-2007-983723&partnerID=40&md5=307985402942bb12b4513ac0a112599e,"Sialic acid (N-acetylneuraminic acid) is a carbohydrate that is often found on the ends of oligosaccharide chains in biological systems. As such, it is important in several biological recognition/communication events mediated by sialic acid recognising proteins that play integral roles in these phenomena. It is therefore necessary to develop synthetic routes to sialic acid and its derivatives and analogues. Many of these routes have led to compounds used as enzyme inhibitors for treatment of disease states and also as probes of biologically relevant binding events and of the mechanisms of enzyme action. Every position on the nine-carbon backbone of sialic acid has been derivatised for such purposes, being synthesised both chemoenzymatically and chemically from precursors ranging from non-carbohydrate sources to sialic acid itself. This review describes various synthetic strategies developed for the synthesis of sialic acid and its variants at each position on the carbon skeleton. 1 Introduction 2 Naturally Occurring Variants 3 Synthesis of Sialic Acid 3.1 Enzymatic Syntheses 3.2 Chemical Syntheses 4 Substituted Sialic Acid Analogues 4.1 Substitution at Cl 4.2 Variation at C3 4.3 Modification at C4 4.4 Amide Variation at C5 4.5 Modification at C6 4.5.1 Substitution of the Ring Oxygen 4.5.2 Substitution of the Glycerol Side Chain 4.6 Modifications at C7, C8, and C9 5 Conclusions. © Georg Thieme Verlag Stuttgart.","Organometallic reagents; Ozonolysis; Sialic acids; Synthetic routes; Biological systems; Carbohydrates; Derivatives; Oligosaccharides; Proteins; Stereoselectivity; Amino acids; 3 deoxy d glycero d galacto non 2 ulopyranosonic acid; 3 deoxy d manno oct 2 ulopyranosonic acid; acetic acid derivative; aldehyde; alkene; enzyme inhibitor; mannosamine; methyl [bis_2,2,2 trifluoroethoxy)phosphoryl]acetate; n acetylmannosamine; n acetylneuraminic acid; n bromosuccinimide; n glycoloylneuraminic acid; oligosaccharide; osmium tetraoxide; phosphoenolpyruvate; pyran derivative; sialic acid; unclassified drug; ammonolysis; chemical structure; coupling factor; cycloaddition; deacetylation; debromination; decarboxylation; deprotection reaction; drug synthesis; enzyme synthesis; Horner Wadsworth Emmons reaction; hydroboration; nonhuman; olefination; oxidation reduction reaction; ozonolysis; phosphorylation; review; stereochemistry; Wittig reaction"
Burkhard L.P.,Evaluation of Published Bioconcentration Factor (BCF) and Bioaccumulation Factor (BAF) Data for Per- and Polyfluoroalkyl Substances Across Aquatic Species,2021,10.1002/etc.5010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105607304&doi=10.1002%2fetc.5010&partnerID=40&md5=4b2be2c2ea6fc29f891a707d84c28983,"Per- and polyfluoroalkyl substances (PFAS) are a group of man-made chemicals of concern across the globe, and some of the PFAS chemicals are known to be bioaccumulative in aquatic species. A literature search for bioconcentration factors (BCFs) and bioaccumulation factors (BAFs) for PFAS has been done, and data for 22 taxonomic classes were assembled. The assembled data were evaluated for quality, and for gaps and limitations in bioaccumulation information for the PFAS universe of chemicals. In general, carbonyl and sulfonyl PFAS classes are relatively data rich, whereas phosphate, fluorotelomer, and ether PFAS classes are data limited for fish and nonexistent for most other taxonomic classes. Taxonomic classes with the most measurements were, in descending order, Teleostei (fish), Bivalvia, and Malacostraca. For fish, median whole-body log BAFs (L/kg wet wt) for perfluorooctane sulfonic acid and perfluorooctanoic acid were 3.55 (standard deviation [SD] = 0.83, n = 84) and 2.16 (SD = 0.85, n = 48) using all measurements, respectively. In comparison with freshwater species, data are limited for marine species, and further research is needed to determine whether the BAFs for freshwater and marine species should be the same or different. The BAFs for some PFAS appear to be consistent with the BCFs developed with laboratory experiments, in which values decline with increasing concentrations in water. Environ Toxicol Chem 2021;40:1530–1543. Published 2021. This article is a U.S. Government work and is in the public domain in the USA. © Published 2021. This article is a U.S. Government work and is in the public domain in the USA.",Biochemistry; Chemicals; Environmental impact; Fish; Quality control; Water; Bio-concentration factors; Bioaccumulation factor; Bioconcentration factor; Chemicals of concern; Laboratory experiments; Perfluorooctane sulfonic acids; Perfluorooctanoic acid; Polyfluoroalkyl substances; Bioaccumulation; haloacid; perfluorodecanoic acid; perfluorohexanesulfonic acid; perfluorohexanoic acid; perfluorooctane sulfonamide; perfluorooctanesulfonic acid; perfluorooctanoic acid; unclassified drug; fresh water; phosphate; water; bioaccumulation; bivalve; carbonyl compound; ether; experimental study; laboratory method; phosphate; research work; sulfonate; taxonomy; teleost; active transport; Amphipoda; animal tissue; bioaccumulation; bivalve; crab; Crassostrea gigas; crucian carp; Gammaridae; isomer; lake trout; liver tissue; lobster; Malacostraca; mesocosm; muscle tissue; mussel; Mysida; nonhuman; prawn; priority journal; Review; Sebastes schlegelii; shrimp; teleost; animal; bioaccumulation; human; United States; Bivalvia; Malacostraca; Teleostei; Animals; Bioaccumulation; Fresh Water; Humans; Phosphates; Water
"Angeles L.F., Aga D.S.",Catching the elusive persistent and mobile organic compounds: Novel sample preparation and advanced analytical techniques,2020,10.1016/j.teac.2019.e00078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078085560&doi=10.1016%2fj.teac.2019.e00078&partnerID=40&md5=eec0604f618190fec4d0ee90e986fe8a,"Persistent and Mobile Organic Compounds (PMOCs) are emerging pollutants in the environment that have only been rarely detected in previous years due to the lack of analytical techniques available for their analysis. These compounds, being very polar, are able to spread through the surface waters, and reach groundwaters and drinking water sources. The challenges in the analysis of these compounds in water include their poor extraction efficiencies from environmental matrices and weak retention in conventional chromatographic columns. As a result, the toxicity and environmental fate of PMOCs are largely unknown. This review will examine recent developments in sorbent and chromatographic column technologies, and other sample preparation strategies that will enable analysis of PMOCs and advance our knowledge on their fate and transport in the environment. In addition, analysis of these compounds in water via liquid chromatography with tandem mass spectrometry (LC–MS/MS) are discussed in this review. © 2019 Elsevier B.V.",NA
"Cameron T.A., Zupan J.R., Zambryski P.C.",The essential features and modes of bacterial polar growth,2015,10.1016/j.tim.2015.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930925768&doi=10.1016%2fj.tim.2015.01.003&partnerID=40&md5=b538eda8928fbb4d7bda74c94cfd10a1,"Polar growth represents a surprising departure from the canonical dispersed cell growth model. However, we know relatively little of the underlying mechanisms governing polar growth or the requisite suite of factors that direct polar growth. Underscoring how classic doctrine can be turned on its head, the peptidoglycan layer of polar-growing bacteria features unusual crosslinks and in some species the quintessential cell division proteins FtsA and FtsZ are recruited to the growing poles. Remarkably, numerous medically important pathogens utilize polar growth, accentuating the need for intensive research in this area. Here we review models of polar growth in bacteria based on recent research in the Actinomycetales and Rhizobiales, with emphasis on Mycobacterium and Agrobacterium species. © 2015 Elsevier Ltd.","bacterial protein; DivIVA protein; membrane protein; MreB protein; peptidoglycan; structural protein; unclassified drug; bacterial protein; cytoskeleton protein; FtsA protein, Bacteria; peptidoglycan; Actinomycetales; Agrobacterium; bacterial cell; bacterial growth; bacterial polar growth; cell aging; cell cycle progression; cell division; cell elongation; cell growth; cell polarity; lipogenesis; Mycobacterium; nonhuman; priority journal; protein localization; protein synthesis; Review; Rhizobiales; Alphaproteobacteria; bacterium; cell cycle; chemistry; cytology; genetics; growth, development and aging; metabolism; Actinomycetales; Agrobacterium; Bacteria (microorganisms); Mycobacterium; Rhizobiales; Actinomycetales; Agrobacterium; Alphaproteobacteria; Bacteria; Bacterial Proteins; Cell Cycle; Cell Division; Cytoskeletal Proteins; Mycobacterium; Peptidoglycan"
"Costa J., Mafra I.",Rosaceae food allergy: a review,2022,10.1080/10408398.2022.2045897,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126040806&doi=10.1080%2f10408398.2022.2045897&partnerID=40&md5=efb38c10b4530f27fad10b6728e29741,"This review provides a global overview on Rosaceae allergy and details the particularities of each fruit allergy induced by ten Rosaceae species: almond/peach/cherry/apricot/plum (Amygdaleae), apple/pear (Maleae), and raspberry/blackberry/strawberry (Rosoideae). Data on clinical symptoms, prevalence, diagnosis, and immunotherapies for the treatment of Rosaceae allergy are herein stated. Allergen molecular characterization, cross-reactivity/co-sensitization phenomena, the impact of food processing and digestibility, and the methods currently available for the Rosaceae detection/quantification in foods are also described. Rosaceae allergy has a major impact in context to pollen-food allergy syndrome (PFAS) and lipid transfer protein (LTP) allergies, being greatly influenced by geography, environment, and presence of cofactors. Peach, apple, and almond allergies are probably the ones most affecting the quality of life of the allergic-patients, although allergies to other Rosaceae fruits cannot be overlooked. From patients’ perspective, self-allergy management and an efficient avoidance of multiple fruits are often difficult to achieve, which might raise the risk for cross-reactivity and co-sensitization phenomena and increase the severity of the induced allergic responses with time. At this point, the absence of effective allergy diagnosis (lack of specific molecular markers) and studies advancing potential immunotherapies are some gaps that certainly will prompt the progress on novel strategies to manage Rosaceae food allergies. © 2022 Taylor & Francis Group, LLC.",Allergens; Allergies; Food processing; Fruits; Clinical relevance; Co-sensitization; Cross-reactivity; Cross-reactivity/co-sensitization phenomenon; Detection methods; Food allergen; Food allergies; Food processing and digestibility; Lipid transfer protein; Lipid transfer protein allergy; Pollen-food allergy syndrome; Diagnosis
"Soubhye J., Aldib I., Delporte C., Prévost M., Dufrasne F., Van Antwerpen P.",Myeloperoxidase as a target for the treatment of inflammatory syndromes: Mechanisms and structure activity relationships of inhibitors,2016,10.2174/0929867323666160607111806,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995950941&doi=10.2174%2f0929867323666160607111806&partnerID=40&md5=94df593e0acccd7bf65e9867a7935a9e,"Inflammation is an initial response of the body to a harmful stimuli and it is achieved by the increased movement of leukocytes (especially granulocytes) from blood into injured tissues. It is required for healing wounds and infections. Despite their indispensable role in microbial killing, the inflammation reactions may also cause diseases to a host such as hay fever, atherosclerosis, and rheumatoid arthritis. The enzymes and oxidizing species released during the inflammatory process can cause damages to the host tissues which lead to inflammatory syndromes. The role of myeloperoxidase (MPO) in the inflammatory reactions is well documented. It contributes in killing the pathogens but it is also implicated in several inflammatory syndromes such as Parkinson's disease, Alzheimer's disease and atherosclerosis. Thus, this enzyme has attracted more attention of the scientists and it has become a target for drug designing. In the last decade, several reversible and irreversible MPO inhibitors were identified as very high potent inhibitors such as fluoroalkylindole, aromatic hydroxamic acid, thioxanthine and benzoic acid hydrazide derivatives. In this review, we tried to illustrate the MPO inhibitors and highlight their structure activity relationship (SAR). In this paper we also discussed the mechanism of the inhibitory effect of the most potent compounds. © 2016 Bentham Science Publishers.","aromatic hydroxamic acid; benzoic acid hydrazide derivative; captopril; dapsone; flavonoid; flufenamic acid; fluoroalkylindole; hydrazide derivative; indazole derivative; myeloperoxidase; myeloperoxidase inhibitor; naphthalene; natural product; nitroxide; nonsteroid antiinflammatory agent; paroxetine; thioxanthine; tryptamine; unclassified drug; chalcone derivative; enzyme inhibitor; flavonoid; peroxidase; Alzheimer disease; antiinflammatory activity; atherosclerosis; cardiovascular disease; drug design; drug mechanism; enzyme activity; enzyme inhibition; enzyme structure; enzyme synthesis; human; inflammation; kidney injury; nervous system injury; nonhuman; Parkinson disease; protein function; Review; screening test; structure activity relation; tumor growth; antagonists and inhibitors; Arthritis, Rheumatoid; atherosclerosis; chemistry; metabolism; molecular docking; Neurodegenerative Diseases; pathology; structure activity relation; Arthritis, Rheumatoid; Atherosclerosis; Chalcones; Drug Design; Enzyme Inhibitors; Flavonoids; Humans; Molecular Docking Simulation; Neurodegenerative Diseases; Peroxidase; Structure-Activity Relationship"
"Saranya P.V., Aneeja T., Anilkumar G.",Palladium-catalyzed difluoromethylation and difluoroalkylation reactions: An overview,2022,10.1002/aoc.6503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119022420&doi=10.1002%2faoc.6503&partnerID=40&md5=ae2856351a1a10aa4edede47468bb0a4,"Broad functional group compatibility and gentle reaction conditions are the advantages of the majority of the palladium-catalyzed reactions. Fascinating pharmacokinetic properties are possessed by the difluoromethyl group that is isopolar and isosteric to hydroxyl group. The difluoromethylene group is bioisostere for a carbonyl group or an oxygen atom. These groups are present in the structures of plenty of agrochemicals and drug molecules. Attempts to develop new approaches for difluoromethylation and difluoroalkylation reactions are growing notably. Owing to the importance of these compounds in diverse fields, the advances and prospects of palladium-catalyzed difluoromethylation and difluoroalkylation reactions are reviewed here covering literature up to 2021. © 2021 John Wiley & Sons, Ltd.",Agricultural chemicals; Palladium; Arylboronic acids; Bioisosteres; Difluoroalkylation; Difluoromethylation; Hydroxyl groups; Isosteric; Palladium-catalyzed; Palladium-catalyzed reactions; Pharmacokinetic properties; Reaction conditions; Catalysis
