Authors,Title,Year,DOI,Link,Abstract,Index Keywords
"Blake B.E., Miller C.N., Nguyen H., Chappell V.A., Phan T.P., Phadke D.P., Balik-Meisner M.R., Mav D., Shah R.R., Fenton S.E.","Transcriptional pathways linked to fetal and maternal hepatic dysfunction caused by gestational exposure to perfluorooctanoic acid (PFOA) or hexafluoropropylene oxide-dimer acid (HFPO-DA or GenX) in CD-1 mice",2022,"10.1016/j.ecoenv.2022.114314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142523208&doi=10.1016%2fj.ecoenv.2022.114314&partnerID=40&md5=7dede8db9253faef31e5c5b5d28efd71","Per- and polyfluoroalkyl substances (PFAS) comprise a diverse class of chemicals used in industrial processes, consumer products, and fire-fighting foams which have become environmental pollutants of concern due to their persistence, ubiquity, and associations with adverse human health outcomes, including in pregnant persons and their offspring. Multiple PFAS are associated with adverse liver outcomes in adult humans and toxicological models, but effects on the developing liver are not fully described. Here we performed transcriptomic analyses in the mouse to investigate the molecular mechanisms of hepatic toxicity in the dam and its fetus after exposure to two different PFAS, perfluorooctanoic acid (PFOA) and its replacement, hexafluoropropylene oxide-dimer acid (HFPO-DA, known as GenX). Pregnant CD-1 mice were exposed via oral gavage from embryonic day (E) 1.5–17.5 to PFOA (0, 1, or 5 mg/kg-d) or GenX (0, 2, or 10 mg/kg-d). Maternal and fetal liver RNA was isolated (N = 5 per dose/group) and the transcriptome analyzed by Affymetrix Array. Differentially expressed genes (DEG) and differentially enriched pathways (DEP) were obtained. DEG patterns were similar in maternal liver for 5 mg/kg PFOA, 2 mg/kg GenX, and 10 mg/kg GenX (R2: 0.46–0.66). DEG patterns were similar across all 4 dose groups in fetal liver (R2: 0.59–0.81). There were more DEGs in fetal liver compared to maternal liver at the low doses for both PFOA (fetal = 69, maternal = 8) and GenX (fetal = 154, maternal = 93). Upregulated DEPs identified across all groups included Fatty Acid Metabolism, Peroxisome, Oxidative Phosphorylation, Adipogenesis, and Bile Acid Metabolism. Transcriptome-phenotype correlation analyses demonstrated &gt; 1000 maternal liver DEGs were significantly correlated with maternal relative liver weight (R2 &gt;0.92). These findings show shared biological pathways of liver toxicity for PFOA and GenX in maternal and fetal livers in CD-1 mice. The limited overlap in specific DEGs between the dam and fetus suggests the developing liver responds differently than the adult liver to these chemical stressors. This work helps define mechanisms of hepatic toxicity of two structurally unique PFAS and may help predict latent consequences of developmental exposure. © 2022","disease; maternal health; organofluorine; pollution exposure; pregnancy; rodent; fluorocarbon; octanoic acid; oxide; perfluorooctanoic acid; polymer; adult; animal; female; fetus; human; mouse; pregnancy; Adult; Animals; Caprylates; Female; Fetus; Fluorocarbons; Humans; Mice; Oxides; Polymers; Pregnancy"
"Banyoi S.-M., Porseryd T., Larsson J., Grahn M., Dinnétz P.","The effects of exposure to environmentally relevant PFAS concentrations for aquatic organisms at different consumer trophic levels: Systematic review and meta-analyses",2022,"10.1016/j.envpol.2022.120422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140274537&doi=10.1016%2fj.envpol.2022.120422&partnerID=40&md5=805b1714d1ffe6d6364cfd44d1e8ab46","Per-and polyfluoroalkyl substances (PFAS) is a collective name for approximately 4700 synthetic chemicals ubiquitous in the aquatic environment worldwide. They are used in a wide array of products and are found in living organisms around the world. Some PFAS have been associated with cancer, developmental toxicity, endocrine disruption, and other health effects. Only a fraction of PFAS are currently monitored and regulated and the presence and effects on aquatic organisms of many PFAS are largely unknown. The aim of this study is to investigate the health effects of environmentally relevant concentrations of PFAS on aquatic organisms at different consumer trophic levels through a systematic review and meta-analysis. The main result shows that PFAS in concentrations up to 13.5 μg/L have adverse effects on body size variables for secondary consumers. However, no significant effects on liver or gonad somatic indices and neither on fecundity were found. In addition, the results show that there are large research gaps for PFAS effects on different organisms in aquatic environments at environmentally relevant concentrations. Most studies have been performed on secondary consumers and there is a substantial lack of studies on other consumers in aquatic ecosystems. © 2022 The Authors","Aquatic ecosystems; Aquatic environments; Exposure effects; Health effects; Meta-analysis; Polyfluoroalkyl substances; Secondary consumers; Substance concentrations; Synthetic chemicals; Systematic Review; Trophic level; Aquatic organisms; cancer; concentration (composition); endocrine disruptor; meta-analysis; toxicity; trophic level; aquatic environment; aquatic species; body size; consumer; controlled study; environmental exposure; fertility; gonad; human; liver; meta analysis; nonhuman; review; systematic review; trophic level; aquatic species; ecosystem; fluorocarbon; Aquatic Organisms; Ecosystem; Fluorocarbons"
"Gar Alalm M., Boffito D.C.","Mechanisms and pathways of PFAS degradation by advanced oxidation and reduction processes: A critical review",2022,"10.1016/j.cej.2022.138352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135686023&doi=10.1016%2fj.cej.2022.138352&partnerID=40&md5=ca67921fca14e2ee367ff37ae6471033","Numerous studies have demonstrated the degradation of perfluoroalkyl substances (PFAS) by advanced oxidation or reduction processes. Howbeit, the current literature lacks a comprehensive and comparative overview of the various degradation pathways and mechanisms. This systematic review compiles and analyzes the mechanisms and degradation pathways of PFAS by persulfate activation, photocatalysis, UV/sulfite, electron beam, electrochemical oxidation, plasma, ozonation, and sonochemical oxidation. We found that the degradation pathways of perfluorocarboxylic acids (PFCAs) and Perfluoroalkanesulfonic acids (PFSAs) were investigated more than any other PFAS. This review implies that the defluorination and degradation pathways of PFAS are reliant on the type of dominant reactive oxidant or reductive species. For instance, holes usually oxidize PFAS to unstable perfluoroalkyl radicals accompanied by losing head groups, whereas hydroxyl and superoxide radicals cleave C–C and C-F bonds. On the other hand, hydrated electrons directly eliminate the head group followed by releasing CF2 units. Furthermore, the imposed crystal facets and functional groups of the introduced catalytic surfaces in the case of heterogeneous catalysis (e.g., photocatalysts) affected the degradation pathways and defluorination rates by anchoring PFAS molecules from the head groups (e.g., carboxylate and sulfonate group). This study lays the groundwork for future research to analyze and elucidate the transformation products and pathways of PFAS in various treatment systems. © 2022 Elsevier B.V.","Carboxylation; Catalysis; Ozone; Ozone water treatment; Ozonization; Advanced Oxidation Processes; AOP; Critical review; Defluorination; Degradation pathways; Head groups; Oxidation and reduction; Perfluoroalkyl substances; PFOA; Reduction process; Electrochemical oxidation"
"Ma T., Ye C., Wang T., Li X., Luo Y.","Toxicity of Per- and Polyfluoroalkyl Substances to Aquatic Invertebrates, Planktons, and Microorganisms",2022,"10.3390/ijerph192416729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144548391&doi=10.3390%2fijerph192416729&partnerID=40&md5=506e800194be9ceb3c9d54e384291507","Per- and polyfluoroalkyl substances (PFASs), recognized worldwide as emerging pollutants, may pose a substantial threat to human health and our environment due to their stability, high concentrations, wide distribution, and easy accumulation. Ever since perfluorooctane sulfonate and perfluorooctanoic acid were recognized by the Stockholm Convention on Persistent Organic Pollutants, the public has become increasingly concerned about potential contamination and the environmental risks associated with PFASs. Ubiquitous PFAS contamination of drinking water, groundwater, surface water, and sediment has been detected, especially in areas with rapid industrial and economic development. Its accumulation in living organisms and foods has accentuated the importance of investigations into aquatic organisms at the bottom of the food chain, as the stability and integrity of the food web as well as the population quantity and structure of the aquatic ecosystem may be affected. This review provides a comprehensive summary of the toxic and toxicity-related effects of PFASs on aquatic plankton, aquatic invertebrates and microorganisms, the characteristics of different target aquatic organisms in toxicity investigations, and a feasibility evaluation of PFAS substitutes to provide valuable suggestions for further utilization and regulation of PFASs and their substitutes. © 2022 by the authors.","benthos; bioaccumulation; feasibility study; food chain; food web; microorganism; polymer; toxicity; zooplankton; alkanesulfonic acid; drinking water; fluorocarbon; analysis; animal; aquatic species; ecosystem; environmental monitoring; human; invertebrate; plankton; toxicity; water pollutant; Alkanesulfonic Acids; Animals; Aquatic Organisms; Drinking Water; Ecosystem; Environmental Monitoring; Fluorocarbons; Humans; Invertebrates; Plankton; Water Pollutants, Chemical"
"Liu C., Zhao X., Faria A.F., Deliz Quiñones K.Y., Zhang C., He Q., Ma J., Shen Y., Zhi Y.","Evaluating the efficiency of nanofiltration and reverse osmosis membrane processes for the removal of per- and polyfluoroalkyl substances from water: A critical review",2022,"10.1016/j.seppur.2022.122161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144382421&doi=10.1016%2fj.seppur.2022.122161&partnerID=40&md5=f915fbf81420cc0158cdd6ab97ea7f35","Per- and polyfluoroalkyl substances (PFAS) have been ubiquitously detected in the aquatic environment which poses a risk for human exposure. The recalcitrant behavior of PFAS to most traditional water treatment processes calls for development of novel or modified treatment approaches for effective PFAS elimination. Currently, high-pressure membrane systems, including nanofiltration (NF) and reverse osmosis (RO) are among the most promising and readily applied technologies for PFAS removal. In this review, we summarized peer-reviewed scientific articles on the development and use of 20 different types of commercial and 6 synthesized/modified NF and RO membranes in terms of PFAS removal efficacy. Synthesizing of existing knowledge shows that under environmentally relevant pH and concentration, NF and RO can effectively remove PFAS from water. The impact of PFAS molecular weight (MW) and functionality, membrane characteristics, feed water constitution, natural organic matters and operational conditions were systematically reviewed and evaluated. Moving forward, we recommend additional research dedicated to understanding the behaviors of PFAS alternatives and other overlooked compounds (e.g., PFAS with chain length C2 and C3) during NF and RO processes. Further, it is critical to develop or optimize existing membrane products with strong selectivity for specific PFAS species, while being resistant to fouling. Overall, this review is expected to assist researchers and water quality managers investigating membrane processes for PFAS removal. © 2022","Microfiltration; Nanofiltration membranes; Osmosis membranes; Reverse osmosis; Water filtration; Water quality; Water treatment; Aquatic environments; Critical review; Human exposures; Membrane filtrations; Membrane process; Per- and polyfluoroalkyl substance; Polyfluoroalkyl substance removal; Polyfluoroalkyl substances; Reverse osmosis membrane; Nanofiltration"
"Chartres N., Sass J.B., Gee D., Bălan S.A., Birnbaum L., Cogliano V.J., Cooper C., Fedinick K.P., Harrison R.M., Kolossa-Gehring M., Mandrioli D., Mitchell M.A., Norris S.L., Portier C.J., Straif K., Vermeire T.","Conducting evaluations of evidence that are transparent, timely and can lead to health-protective actions",2022,"10.1186/s12940-022-00926-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143304655&doi=10.1186%2fs12940-022-00926-z&partnerID=40&md5=c309a07c7aa8108de57c146cd3457a42","Background: In February 2021, over one hundred scientists and policy experts participated in a web-based Workshop to discuss the ways that divergent evaluations of evidence and scientific uncertainties are used to delay timely protection of human health and the environment from exposures to hazardous agents. The Workshop arose from a previous workshop organized by the European Environment Agency (EEA) in 2008 and which also drew on case studies from the EEA reports on ‘Late Lessons from Early Warnings’ (2001, 2013). These reports documented dozens of hazardous agents including many chemicals, for which risk reduction measures were delayed for decades after scientists and others had issued early and later warnings about the harm likely to be caused by those agents. Results: Workshop participants used recent case studies including Perfluorooctanoic acid (PFOA), Extremely Low Frequency – Electrical Magnetic Fields (ELF-EMF fields), glyphosate, and Bisphenol A (BPA) to explore myriad reasons for divergent outcomes of evaluations, which has led to delayed and inadequate protection of the public’s health. Strategies to overcome these barriers must, therefore, at a minimum include approaches that 1) Make better use of existing data and information, 2) Ensure timeliness, 3) Increase transparency, consistency and minimize bias in evidence evaluations, and 4) Minimize the influence of financial conflicts of interest. Conclusion: The recommendations should enhance the production of “actionable evidence,” that is, reliable evaluations of the scientific evidence to support timely actions to protect health and environments from exposures to hazardous agents. The recommendations are applicable to policy and regulatory settings at the local, state, federal and international levels. © 2022, The Author(s).","chemical compound; environmental justice; health risk; public health; risk factor; education; human; Internet; medical informatics; uncertainty; Education; Humans; Internet; Medical Informatics; Uncertainty"
[No author name available],"Erratum to “regarding missing Editorial Disclosure statements in previously published articles”–Part II (Current Opinion in Toxicology (2020) 20–21 (77–84), (S2468202020300449), (10.1016/j.cotox.2020.07.001))",2022,"10.1016/j.cotox.2022.100376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141925059&doi=10.1016%2fj.cotox.2022.100376&partnerID=40&md5=be2efc9222ed6d7f50699882aaa35776","The Editorial Disclosure statements were not included in the published version of the articles that appeared in previous volumes of Current Opinion in Toxicology. Please see the appropriate Editorial Disclosure statements below. 1)Molecular role of cytochrome P4501A enzymes in oxidative stress. Rachel Stading, Chun Chu, Xanthi Couroucli, Krithika Lingappan, Bhagavatula Moorthy. Volumes 20–21, April–June 2020, Pages 77-84 https://doi.org/10.1016/j.cotox.2020.07.001. Given the role as Guest Editor, Bhagavatula Moorthy had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to Jose Manautou, Editor in Chief. 2) In vitro to in vivo translation. William B.Mattes. Volumes 23–24, October–December 2020, Pages 114–118 https://doi.org/10.1016/j.cotox.2020.09.001. Given the role as Guest Editor, William Mattes had no involvement in the peer-review of this article and has no access to information regarding its peer-review. The peer review process for this article was conducted in an unbiased & independent way. 3) Current opinion in neurological manifestations of SARS-CoV-2 infection. Ayse Basak Engin, Evren Doruk Engin, Atilla Engin. Volume 25, March 2021, Pages 49-56 https://doi.org/10.1016/j.cotox.2021.03.004. Given the role as Guest Editor, Ayse Basak Engin had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to the co-editor Monica Neagu. 4) Risk of Alzheimer's disease and environmental bisphenol A exposure. Ayse Basak Engin, Atilla Engin. Volume 25, March 2021, Pages 36-41 https://doi.org/10.1016/j.cotox.2021.03.003. Given the role as Guest Editor, Ayse Basak Engin had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to the co-editor Monica Neagu. 5) Nephroscreen: A robust and versatile renal tubule-on-a-chip platform for nephrotoxicity assessment. Jelle Vriend, Marianne K.Vormann, Henriëtte L.Lanz, Jos Joore, Sebastiaan J.Trietsch, Frans G.M.Russel, Björn Jacobsen, Adrian Roth, Shuyan Lu, Joseph W.Polli, Anita A.Naidoo, Rosalinde Masereeuw, Martijn J.Wilmer, Laura Suter-Dick. Volume 25, March 2021, Pages 42-48 https://doi.org/10.1016/j.cotox.2021.03.001. Given the role as Guest Editor, Rosalinde Masereeuw had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to Martin van den Berg, Editor in Chief. 6) Adverse outcome pathway in immunotoxicity of perfluoroalkyls. Monica Neagu, Carolina Constantin, Giuseppe Bardi, Luisa Duraes. Volume 25, March 2021, Pages 23-29 https://doi.org/10.1016/j.cotox.2021.02.001. Given the role as Guest Editor, Monica Neagu had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to the co-editor Ayse Basak Engin. 7) A systematic review of in vitro models of drug-induced kidney injury. Alasdair R.Irvine, Damiën van Berlo, Rawan Shekhani,Rosalinde Masereeuw. Volume 27, September 2021, Pages 18-26 https://doi.org/10.1016/j.cotox.2021.06.001. Given the role as Guest Editors, Damiën van Berlo & Rosalinde Masereeuw had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to Martin van den Berg, Editor in Chief. 8) The potential of multi-organ-on-chip models for assessment of drug disposition as alternative to animal testing. Damiën van Berlo, Evita van de Steeg, Hossein Eslami Amirabadi, Rosalinde Masereeuw. Volume 27, September 2021, Pages 8-17 https://doi.org/10.1016/j.cotox.2021.05.001. Given the role as Guest Editors, Damiën van Berlo & Rosalinde Masereeuw had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to Jose Manautou, Editor in Chief. 9) Stem cells, organoids, and organ-on-a-chip models for personalized in vitro drug testing. Damiën van Berlo, Vivian V.T.Nguyen, Vasiliki Gkouzioti, Kirsten Leineweber, Marianne C.Verhaar, Bas W.M.van Balkom. Volume 28, December 2021, Pages 7-14 https://doi.org/10.1016/j.cotox.2021.08.006. Given the role as Guest Editor, Damiën van Berlo had no involvement in the peer-review of this article and has no access to information regarding its peer-review. Full responsibility for the editorial process for this article was delegated to the co-editor Rosalinde Masereeuw. © 2022","erratum"
"Ranjan N., Singh P.K., Maurya N.S.","Pharmaceuticals in water as emerging pollutants for river health: A critical review under Indian conditions",2022,"10.1016/j.ecoenv.2022.114220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140973756&doi=10.1016%2fj.ecoenv.2022.114220&partnerID=40&md5=488c5d43f6e47234d12fe26f59855c62","The wastewaters from pharmaceutical manufacturing units, hospitals, and domestic sewage contaminated with excretal matters of medicine users are the prime sources of pharmaceutical pollutants (PPs) in natural water bodies. In the present study, PPs have been considered one of the emerging pollutants (EPs) and a cause of concern in river health assessment. Beyond the reported increase in antibiotic-resistant bacteria (ABRB), PPs have been found adversely affecting the biotic diversity in such water environments. Considering Algae, Macroinvertebrates, and Fishes as three distinct trophic level indicators, the present study puts forward a framework for showing River Health Condition (RHC) based on the calculation of a River Health Index (RHI). The RHI is calculated using six Indicator Group Scores (IGS) which individually reflect river health in a defined category of water quality characteristics. While Dissolved Oxygen Related Parameters (DORP), Nutrients (NT), and PPs are taken as causative agents affecting RHCs, scores of Algal-Bacterial (AB) symbiosis, Macroinvertebrates (MI), and Fishes (F) are considered as an effect of such environmental conditions. Current wastewater treatment technologies are also not very effective in the removal of PPs. The objective of the present study is to review the harmful effects of PPs on the aquatic environment, particularly on the chemical and biotic indicators of river health. Based on predicted no-effect concentrations (PNEC) for algae, macroinvertebrates, and fishes in the aquatic environment and measured environmental concentration (MEC) in the river, the estimated risk quotient (RQ) for norfloxacin in the Isakavagu-Nakkavagu stream of river Godavari, Hyderabad is found 293 for algae, 39 for MI, and 335 for fish. Among PPs, in Indian rivers, the presence of caffeine is the most frequent, with algae at the highest level of risk (RQmax= 24.5). Broadly six PPs, including azithromycin, caffeine, diclofenac, naproxen, norfloxacin, and sulfamethoxazole are found above PNEC values in Indian rivers. The application of IGS and RHI in understanding and presenting the river health condition (RHC) through colored hexagons has been demonstrated for the river Ganga near Varanasi (India) as an example. Identification of critical indicator groups, based on IGS provides a scientific basis for planned intervention for river health restoration to achieve an acceptable category. © 2022","amoxicillin; amphetamine; ampicillin; anticonvulsive agent; azithromycin; caffeine; carbamazepine; central stimulant agent; ciprofloxacin; diclofenac; dissolved oxygen; hydrogen peroxide; ibuprofen; ketoprofen; naproxen; nonsteroid antiinflammatory agent; norfloxacin; ofloxacin; paracetamol; sparfloxacin; sulfamethoxazole; trimethoprim; drug; alga; antibiotic resistance; aquatic environment; dissolved oxygen; drug; fish; macroinvertebrate; manufacturing; nutrient; pollutant; river pollution; wastewater; Advanced Oxidation Process; alcohol withdrawal syndrome; Algae Berger Parker index; antibiotic resistance bacteria; antibiotic resistant bacteria; aquaculture; backache; bioaccumulation; bioremediation; bipolar disorder; calculation; conceptual framework; controlled study; conventional activated sludge; depression; dissociation constant; dissolved oxygen related parameter; drug manufacture; electric conductivity; emerging pollutant; environmental risk; estimated risk quotient; fever; fish; Fish Berger Parker index; headache; Health Assessment Questionnaire; hospital wastewater; Indicator Group Score; macroinvertebrate; mania; measured environmental concentration; nonhuman; nutrient; pain; pharmaceutical care; pharmaceutical pollutant; photodegradation; predicted no effect concentration; removal efficiency; Review; Risk Quotient; river health; river health condition; River Health Index; sludge; solids retention time; symbiosis; tooth pain; turnover rate; volatilization; waste water management; water pollutant; water pollution; water quality; animal; pollutant; river; Godavari River; India; Animals; Caffeine; Environmental Pollutants; Norfloxacin; Pharmaceutical Preparations; Rivers"
"Ho S.H., Soh S.X.H., Wang M.X., Ong J., Seah A., Wong Y., Fang Z., Sim S., Lim J.T.","Perfluoroalkyl substances and lipid concentrations in the blood: A systematic review of epidemiological studies",2022,"10.1016/j.scitotenv.2022.158036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139572369&doi=10.1016%2fj.scitotenv.2022.158036&partnerID=40&md5=5e3db96ccae7153e97b73254da8645ec","Background: Perfluoroalkyl substances (PFAS) are widely used synthetic aliphatic compounds. This systematic review aims to assess PFAS associations with low-density lipoprotein cholesterol (LDL), high-density lipoprotein cholesterol (HDL), total cholesterol (TC) and total triglyceride (TG) concentrations in human populations. Method: We systematically searched four online databases, PubMed, Scopus, Embase, and Cochrane Library for relevant peer-reviewed English language articles published until July 2021. Additional relevant articles identified were also included in the search results. We categorised populations into adults (≥18 years old) and children. Primary findings were the associations between PFAS concentrations and LDL, HDL, TC, and TG concentrations in the serum, plasma, or whole blood; secondary findings were the associations between PFAS concentrations and the odds of lipid-related health outcomes. Quantitative synthesis was done by vote counting of the effect directions between concentrations of PFAS and lipids/health outcomes, repeated on articles with sample size >1000. Sign tests were performed to assess the statistical significance of the differences between positive and negative associations. Sensitivity analysis was performed by separating out articles with populations having high concentrations of perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS). Quality was assessed with the STROBE checklist and NHBLI Study Quality Assessment Tool. Results: A total of 58 articles were included for review. There was evidence that PFAS exposure is associated with higher concentrations of LDL, HDL, and TC, particularly for PFOA-LDL, PFOA-TC, PFOS-TC, and PFNA-LDL. Associations between PFAS and TG tended to be negative, especially for perfluoroundecanoic acid (PFUnDA). Associations between PFAS concentration and the odds of secondary outcomes generally supported a positive association between PFAS and cholesterol concentrations. Conclusion: We found evidence of associations between the concentrations of some PFAS-lipid pairs in human populations. Future research should be conducted on the less well-studied PFAS to explore their effects on human health and in regions where such studies are currently lacking. (300 words) © 2022 Elsevier B.V.","Blood; Cholesterol; Lipoproteins; High-density lipoprotein cholesterols; Lipoprotein cholesterol; Low density lipoproteins; Low-density lipoprotein cholesterol; Perfluoroalkyl substances; Perfluorooctanoic acid; Substance concentrations; Systematic Review; Total cholesterols; Total triglyceride; Sensitivity analysis; blood; concentration (composition); epidemiology; lipid; literature review; organofluorine; alkanesulfonic acid; cholesterol; fluorocarbon; high density lipoprotein cholesterol; lipid; low density lipoprotein cholesterol; octanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; triacylglycerol; adolescent; adult; child; epidemiology; human; pollutant; Adolescent; Adult; Alkanesulfonic Acids; Caprylates; Child; Cholesterol; Cholesterol, HDL; Cholesterol, LDL; Environmental Pollutants; Epidemiologic Studies; Fluorocarbons; Humans; Lipids; Triglycerides"
"See Y.F.A., Pisharath S., Ong Y.J., Tay C.Y., Hng H.H.","Fluoroalkylated-GAP copolymers (GAP-FP) as promising energetic binders",2022,"10.1016/j.reactfunctpolym.2022.105415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139337187&doi=10.1016%2fj.reactfunctpolym.2022.105415&partnerID=40&md5=c911d2b0abbd1133d5161d0399132b54","The development of a novel energetic block copolymer of glycidyl azide polymer (GAP) and fluoropolymer (FP) using a boron trifluoride-tetrahydrofuran complex/diol initiator system is reported herein. Well-defined compositions of the GAP-FP copolymers in two different GAP to FP ratios (1:1 and 1:3) were synthesized by tailoring the desired molecular weights of each block in the copolymer, demonstrating the synthetic versatility of such a copolymer system. The resultant GAP-FP copolymers represent a unique hybrid binder system with tunable energy releasing and oxidizing potentials intended for metallized formulations. Thermogravimetric analysis showed that the carbonaceous residue usually formed from the decomposition of GAP could be reduced significantly by the copolymerization with FP. Isoconversional method of kinetic analysis of the GAP-FP copolymers revealed an increasing dependence of the effective activation energy on the extent of conversion. The increasing dependence suggested a mechanism of the competing reactions that were found to be between the reactions of FP triggered oxidation and intermolecular crosslinking of the polyimine intermediates formed from GAP decomposition that ultimately resulted in the reduction of the carbonaceous residue. © 2022 Elsevier B.V.","Activation analysis; Binders; Block copolymers; Cationic polymerization; Crosslinking; Fracture mechanics; Reaction intermediates; Ring opening polymerization; Thermogravimetric analysis; Block co polymers; Carbonaceous residues; Cationic ring opening polymerization; Energetic binder; Glycidyl azide polymer; Glycidyl azide polymer-fluoropolymer copolymer; Isoconversional analysis; Macroinitiators; PECH macroinitiator; Tetra-hydrofuran; Activation energy"
