key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-934858926,Multifunctional Membranes-A Versatile Approach for Emerging Pollutants Removal,2022,1,NA,MEMBRANES,2077-0375,12,1,,"Matei, E and Covaliu-Mierla, CI and Turcanu, AA and Rapa, M and Predescu, AM and Predescu, C",,,,,"This paper presents a comprehensive literature review surveying the most important polymer materials used for electrospinning processes and applied as membranes for the removal of emerging pollutants. Two types of processes integrate these membrane types: separation processes, where electrospun polymers act as a support for thin film composites (TFC), and adsorption as single or coupled processes (photo-catalysis, advanced oxidation, electrochemical), where a functionalization step is essential for the electrospun polymer to improve its properties. Emerging pollutants (EPs) released in the environment can be efficiently removed from water systems using electrospun membranes. The relevant results regarding removal efficiency, adsorption capacity, and the size and porosity of the membranes and fibers used for different EPs are described in detail.",,10.3390/membranes12010067,,NA,
rayyan-934858927,Legacy and emerging pollutants in Latin America: A critical review of occurrence and levels in environmental and food samples,2022,11,20,SCIENCE OF THE TOTAL ENVIRONMENT,"[""0048-9697"", ""1879-1026""]",848,NA,,"Souza, MCO and Rocha, BA and Adeyemi, JA and Nadal, M and Domingo, JL and Barbosa, F",,,,,"The increase and indiscriminate use of personal care products, food products, fertilizers, pesticides, and health products, among others, have resulted/are resulting in extensive environmental contamination. Most of these products contain traces of widespread chemicals, usually known as emerging pollutants (EPs) or pollutants of emerging concern (PEC). The Latin American (LA) region comprises 20 countries with different social and cultural aspects, with 81 % of the population living in urban areas. The LA region has some countries on the top list of users/consumers of EPs, from pesticides and fertilizers to personal care products. However, there is a gap in information related to the distribution of EPs in the environment of this region, with very few existing review texts exploring this issue. Therefore, this present paper advances this approach. An exhaustive literature review, with the selection of 176 documents, provided unique up-to-date information on the presence/distribution of 17 classes of legacy or emerging pollutants in different food and environmental matrices (soil, sediment, water, and air). The study shows that the wide distribution and recorded levels of these pollutants in the continental environment are potential risks to human health, mainly through food and drinking water ingestion. Polycyclic aromatic hydrocarbons are pollutants of deep public concern since they show carcinogenic properties. Several classes of pollutants, like endocrine disruptors, have caused harmful effects on humans and the environment. Besides that, pharmaceutical products and pesticides are compounds of high consumption worldwide, being environmental contamination a real and ongoing possibility. Finally, gaps and future research needs are deeply pointed out.",,10.1016/j.scitotenv.2022.157774,Latin America;Food,NA,
rayyan-934858928,Accurate Removal of Toxic Organic Pollutants from Complex Water Matrices,2022,3,1,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"[""0013-936X"", ""1520-5851""]",56,5,2917-2935,"Cai, JZ and Niu, BL and Xie, QH and Lu, N and Huang, SY and Zhao, GH and Zhao, JC",,,,,"Characteristic emerging pollutants at low concentration have raised much attention for causing a bottleneck in water remediation, especially in complex water matrices where high concentration of interferents coexist. In the future, tailored treatment methods are therefore of increasing significance for accurate removal of target pollutants in different water matrices. This critical review focuses on the overall strategies for accurately removing highly toxic emerging pollutants in the presence of typical interferents. The main difficulties hindering the improvement of selectivity in complex matrices are analyzed, implying that it is difficult to adopt a universal approach for multiple targets and water substrates. Selective methods based on assorted principles are proposed aiming to improve the anti-interference ability. Thus, typical approaches and fundamentals to achieve selectivity are subsequently summarized including their mechanism, superiority and inferior position, application scope, improvement method and the bottlenecks. The results show that different methods may be applicable to certain conditions and target pollutants. To better understand the mechanism of each selective method and further select the appropriate method, advanced methods for qualitative and quantitative characterization of selectivity are presented. The processes of adsorption, interaction, electron transfer, and bond breaking are discussed. Some comparable selective quantitative methods are helpful for promoting the development of related fields. The research framework of selectivity removal and its fundamentals are established. Presently, although continuous advances and remarkable achievements have been attained in the selective removal of characteristic organic pollutants, there are still various substantial challenges and opportunities. It is hopeful to inspire the researches on the new generation of water and wastewater treatment technology, which can selectively and preferentially treat characteristic pollutants, and establish a reliable research framework to lead the direction of environmental science.",,10.1021/acs.est.1c07824,,NA,
rayyan-934858929,Individual and mixture associations of perfluoroalkyl substances on liver function biomarkers in the Canadian Health Measures Survey,2022,9,14,ENVIRONMENTAL HEALTH,1476-069X,21,1,,"Borghese, MM and Liang, CL and Owen, J and Fisher, M",,,,,"Background Perfluoroalkyl substances can disrupt hepatic metabolism and may be associated with liver function biomarkers. We examined individual and mixture associations of PFAS on liver function biomarkers in a representative sample of Canadian adults. We explored the potential for effect modification by sex and body mass index, as well as by physical activity level which may attenuate the deleterious effect of PFAS on metabolic disorders. Methods We analyzed data from participants aged 20-74 from the Canadian Health Measures Survey. We used linear regression to examine associations between plasma concentrations of PFOA, PFOS, PFHxS, PFNA, PFDA, and PFUDA on serum concentrations of aspartate aminotransferase (AST), gamma-glutamyltransferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT) and total bilirubin. We used quantile g-computation to estimate associations with a PFAS mixture for each simultaneous, one-quartile change in PFAS concentrations. Results Each doubling of PFOA, PFOS, PFHxS, or PFNA concentrations was associated with higher AST, GGT, and ALP concentrations. Each doubling of PFOA concentrations was associated with 16.5% (95%CI: 10.4, 23.0) higher GGT concentrations among adults not meeting Canada's physical activity guidelines vs. 6.6% (95%CI: -1.6, 15.5) among those meeting these guidelines. Sex and BMI also modified some associations, though to a lesser extent. We did not observe associations between ALT and PFOA (1.2% change; 95%CI: -2.5, 4.9), PFOS (2.2% change; 95%CI: -0.8, 5.3), or PFHxS (1.5% change; 95%CI: -0.4, 3.4). We also did not observe consistent associations for PFDA and PFUDA or with total bilirubin. In quantile g-computation models, each simultaneous one-quartile increase in the PFAS mixture was positively associated with AST (7.5% higher; 95%CI: 4.0, 10.4), GGT (9.7% higher; 95%CI: 1.7, 17.0), and ALP (2.8% higher; 95%CI: 0.5, 5.4). Conclusion Higher plasma concentrations of PFOA, PFOS, PFHxS, and PFNA - both individually and as a mixture - were associated with higher serum concentrations of liver function biomarkers. These results contribute to emerging evidence suggesting that higher levels of physical activity appear to be protective against the hepatotoxic effects of PFOA. This work contributes to a growing body of evidence supporting the hepatotoxic effects of PFAS.",,10.1186/s12940-022-00892-6,Biological Markers;Liver,NA,
rayyan-934858930,Association Between Exposure to Per- and Polyfluoroalkyl Substances and Birth Outcomes: A Systematic Review and Meta-Analysis,2022,3,24,FRONTIERS IN PUBLIC HEALTH,2296-2565,10,NA,,"Gui, SY and Chen, YN and Wu, KJ and Liu, W and Wang, WJ and Liang, HR and Jiang, ZX and Li, ZL and Hu, CY",,,,,"Background: A large body of emerging evidence suggests that per- and polyfluoroalkyl substances (PFAS) affect birth outcomes in various pathways, but the evidence is inconsistent. Therefore, this study aimed to systematically review the epidemiological evidence on PFAS exposure and birth outcomes. Methods: Three electronic databases were searched for epidemiological studies through February 13, 2021. We used random-effects meta-analysis for eight birth outcome indicators to calculate summtary effect estimates for various exposure types. The risk of bias and the overall quality and level of evidence for each exposure-outcome pair were assessed. Results: The initial search identified 58 potentially eligible studies, of which 46 were ultimately included. Many PFAS were found to have previously unrecognized statistically significant associations with birth outcomes. Specifically, birth weight (BW) was associated with PFAS, with effect sizes ranging from -181.209 g (95% confidence interval (CI) = -360.620 to -1.798) per 1 ng/ml increase in perfluoroheptanesulfonate (PFHpS) to -24.252 g (95% CI = -38.574 to -9.930) per 1 ln (ng/ml) increase in perfluorodecaoic acid (PFDA). Similar patterns were observed between other PFAS and birth outcomes: perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) with birth length (BL) and ponderal index (PI), PFOS and perfluorododecanoic acid (PFDoDA) with head circumference (HC), PFHpS with gestational age (GA), and perfluorononanoic acid (PFNA) and PFHpS with preterm birth (PTB). Additionally, PFDA showed a statistically significant association with small for gestational age (SGA). The level of the combined evidence for each exposure-outcome pair was considered to be ""moderate "". Conclusion: This study showed that PFAS exposure was significantly associated with increased risks of various adverse birth outcomes and that different birth outcome indicators had different degrees of sensitivity to PFAS. Further studies are needed to confirm our results by expanding the sample size, clarifying the effects of different types or doses of PFAS and the time of blood collection on birth outcomes, and fully considering the possible confounders.",,10.3389/fpubh.2022.855348,,NA,
rayyan-934858931,A systematic review on toxicity assessment of persistent emerging pollutants (EPs) and associated microplastics (MPs) in the environment using the Hydra animal model,2022,6,NA,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,"[""1532-0456"", ""1878-1659""]",256,NA,,"Vimalkumar, K and Sangeetha, S and Felix, L and Kay, P and Pugazhendhi, A",,,,,"Emerging pollutants (EPs) are causative for teratogenic and reproductive effects. EPs are detected in all the environmental matrices at higher levels. A suitable model for aquatic toxicity assessment is Hydra, because of morphological, behavioral, reproductive (sexual and asexual), and biochemical changes. Many researchers have used Hydra for toxicity assessment of organic chemicals (BPA), heavy metals, pharmaceuticals, nanomaterials and microplastics. Various Hydra species were used for environmental toxicity studies; however H. magnipapillata was predominantly used due to the availability of its genome and proteome sequences. Teratogenic and reproductive changes in Hydra are species specific. Teratogenic effects were studied using sterozoom dissecting microscope, acridine orange (AO) and 4 ',6-diamidino-2-phenylindole (DPAI) staining. Reactive oxygen species (ROS) generation by EPs had been understood by the Dichlorodihydrofluorescein Diacetate (DCFDA) staining and comet assay. Multiple advanced techniques would aid to understand the effects at molecular level, such as real-time PCR, rapid amplification of cDNA end- PCR. EPs modulated the major antioxidant enzyme levels, therefore, defense mechanism was affected by the higher generation of reactive oxygen species. Genome sequencing helps to know the mode of action of pollutants, role of enzymes in detoxification, defense genes and stress responsive genes. Molecular techniques were used to obtain the information for evolutionary changes of genes and modulation of gene expression by EPs.",,10.1016/j.cbpc.2022.109320,Animals;Animal Shells,NA,
rayyan-934858932,Microbiome engineering for bioremediation of emerging pollutants,NA,NA,NA,BIOPROCESS AND BIOSYSTEMS ENGINEERING,"[""1615-7591"", ""1615-7605""]",NA,NA,,"Singha, LP and Shukla, P",,,,,"Axenic microbial applications in the open environment are unrealistic and may not be always practically viable. Therefore, it is important to use mixed microbial cultures and their interactions with the microbiome in the targeted ecosystem to perform robust functions towards their sustainability in harsh environmental conditions. Emerging pollutants like phthalates and hydrocarbons that are toxic to several aquatic and terrestrial life forms in the water bodies and lands are an alarming situation. The present review explores the possibility of devising an inclusive eco-friendly strategy like microbiome engineering which proves to be a unique and crucial technology involving the power of microbial communication through quorum sensing. This review discusses the interspecies and intra-species communications between different microbial groups with their respective environments. Moreover, this review also envisages the efforts for designing the next level of microbiome-host engineering concept (MHEC). The focus of the review also extended toward using omics and metabolic network analysis-based tools for effective microbiome engineering. These approaches might be quite helpful in the future to understand such microbial interactions but it will be challenging to implement in the real environment to get the desired functions. Finally, the review also discusses multiple approaches for the bioremediation of toxic chemicals from the soil environment.",,10.1007/s00449-022-02777-x,Microbiota,NA,
rayyan-934858933,Peracetic acid-based advanced oxidation processes for the degradation of emerging pollutants: A critical review,2022,10,NA,JOURNAL OF WATER PROCESS ENGINEERING,2214-7144,49,NA,,"Correa-Sanchez, S and Penuela, GA",,,,,"An ever-increasing number of anthropogenic pollutants, referred to as emerging pollutants (EPs), have been of concern in recent years. These pollutants are known for the potential risk that they pose in the environment, and have been consistently found in surface, waste, and potable waters. Moreover, some of them are persistent to conventional treatments and in the environment. Advanced oxidation processes (AOPs) are widely used tech-nology for the removal of EPs The use of peracetic acid (PAA) as an oxidant AOP for the treatment of EPs has attracted increasing interest, owing to its ease of activation, and to the selectivity of the organic radicals that are generated in these processes towards electron rich sites, which makes them more robust against the effect of scavenging agents in real matrices. This work presents a critical analysis of the advantages, disadvantages, and opportunities of PAA-based processes. Several strategies for PAA activation were analyzed, including UV and transition metal activation, heterogeneous catalysis, thermal and microwave activation, and phosphate induced activation. It was found that PAA-based AOPs seem to have several advantages over other widely studied pro-cesses. Some key perspectives for research include testing of these processes with a variety of EPs, analysis of transformation products and their toxicity in the treated effluents, multivariate optimization of the process, direct comparison with widely studied oxidants, and experimentation for escalation and implementation. Nevertheless, PAA-based AOPs seem to be a promising alternative to conventional AOPs.",,10.1016/j.jwpe.2022.102986,,NA,
rayyan-934858934,Employing electro-peroxone process for industrial wastewater treatment: a critical review,2022,9,NA,CHEMICAL PAPERS,"[""0366-6352"", ""1336-9075""]",76,9,5341-5367,"Shokri, A and Fard, MS",,,,,"Recently, the electro-peroxone process has advent rapidly as an efficient and new electrochemical advanced oxidation process (EAOP) to treat pollutants, which is operated through in situ generations of H2O2 from cathodic O-2 reduction during the ozonation process. The electro-generated hydrogen peroxide leads to the improvement in ozone transformation to hydroxyl radical; hence, the electro-peroxone can considerably improve the treatment performance, total organic carbon (TOC) mineralization, and reduction of ozone-resistant emerging pollutants compared with the traditional ozonation process. Moreover, the main disadvantage of the traditional ozonation process for water treatment is bromate generation during the treatment of bromide-containing water sources, which can be remarkably decreased by the application of this technology. Additionally, because of its enhanced kinetics of contaminant degradation, electro-peroxone offers a more secure, time-efficient, energy-saving, and effective alternative for the reduction of emerging pollutants, compared with different ozone-dependent AOPs including traditional UV/O-3 and peroxone (O-3/H2O2) methods. Hence, it can offer a suitable, eco-friendly, and cost-effective approach to markedly enhance the efficiency of the current ozonation process. This paper reviews the principles of the electro-peroxone process and compares its efficiency with other methods. The essential reaction mechanisms and experimental parameters that are crucial to the operation, realization, and design of the electro-peroxone, including ozone dosage, applied current, injected ozone flowrate, electrolyte type, electrode setup, solution pH, and type of cathode and anode on electro-peroxone efficiency, are investigated. Moreover, the application of electro-peroxone for water and wastewater treatment is explored. Finally, the challenges in wide-ranging application of electro-peroxone, the future research direction, and its incorporation in wastewater and water treatment systems for viable application are discussed.",,10.1007/s11696-022-02269-y,,NA,
rayyan-934858935,Global Exposure to Per- and Polyfluoroalkyl Substances and Associated Burden of Low Birthweight,NA,NA,NA,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"[""0013-936X"", ""1520-5851""]",NA,NA,,"Dong, ZM and Fan, XR and Tang, S and Wang, Y and Fan, WH and Ben, YJ and Naidu, R",,,,,"Low birthweight (LBW) is a worldwide public health concern, while the global burden of LBW attributable to endocrine-disrupting chemicals, such as per-and polyfluoroalkyl substances (PFAS), has not yet been evaluated. Here, we established a large dataset for the biomonitoring of seven representative congeners of PFAS by examining data from 2325 publications. Global exposure to perfluorooctanesulfonic acid (PFOS) was the highest, followed by perfluorohexanesulfonic acid (PFHxS) and perfluorooctanoic acid (PFOA). Spatiotemporal exposure to PFAS varied considerably, with daily intake estimated in the range of 0.01-1.7 ng/kg/day. Moreover, decreasing trends in PFOS, PFHxS, and PFOA exposure were noted in most regions of the world over the past two decades, but such trends were not observed for other PFAS with long carbon chains, especially in East Asia. Furthermore, we estimated that human exposure to PFOA contributed to approximately 461,635 (95% confidence interval: 57,418 to 854,645) cases per year of LBW during the past two decades, predominantly from Asian regions. Although our estimation may be constrained by uncertainties from the dose-response curve and data availability, this study has unveiled that PFAS might be a contributor to global LBW prevalence during 2000-2019, supporting continuous actions to mitigate PFAS contamination.",,10.1021/acs.est.1c08669,,NA,
