Authors,Title,Year,DOI,Link,Abstract,Index.Keywords
NA,Pollution pathways and release estimation of perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA) in central and eastern China.,2017,NA,NA,"China has gradually become the most important manufacturing and consumption centre for perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA) in the world, and inadvertently become the world's major contamination hotspots. However, a systematic analysis of pollution pathways for PFOS/PFOA into the different environmental compartments and their quantification in China has yet to be carried out. This study focused on PFOS and PFOA release into the environment in the central and eastern region of China, which accounts for the vast majority of national emission. About 80-90% of PFOS/PFOA contamination in the Chinese environment was estimated to come directly from manufacturing and industrial sites mostly via wastewater discharge from these facilities. The other major contamination sources for PFOS were identified as being linked to aqueous fire-fighting foams (AFFFs), and pesticides including sulfluramid. For PFOA, following some way behind industrial wastewater, were industrial exhaust gas, domestic wastewater and landfill leachate as contamination sources. For surface water contamination, the major pollution contributors after industrial wastewater were AFFF spill runoff for PFOS, and domestic wastewater and precipitation-runoff for PFOA. The majority of PFOS that contaminated soil was considered to be linked with infiltration of AFFF and pesticides, while most PFOA in soil was attributed to atmospheric deposition and landfill leachate. Where groundwater had become contaminated, surface water seepage was estimated to contribute about 50% of PFOS and 40% of PFOA while the remainder was mostly derived from soil leaching. A review of the available monitoring data for PFOS/PFOA in the literature supported the view that industrial wastewater, landfill leachate and AFFF application were the dominant sources. Higher concentrations of PFOA than PFOS found in precipitation also corroborated the prediction of more PFOA release into air. To reduce PFOS/PFOA contamination of the Chinese environment the focus for control should be on industrial wastewater emissions.",NA
"Wong D.S., Fraser P., Lavoie P., Kim J.",PFC Emissions from Detected Versus Nondetected Anode Effects in the Aluminum Industry,2015,10.1007/s11837-014-1265-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928346380&doi=10.1007%2fs11837-014-1265-8&partnerID=40&md5=9b083118eb63ffdbc8c1b172a3f1f84d,"Perfluorinated carbon compounds (PFCs) CF4 and C2F6 are potent greenhouse gases that are generated in aluminum reduction cells during events known as anode effects (AEs). Since the 1990s, the aluminum industry has made considerable progress in reducing PFCs from conventionally defined and detected AEs. However in recent years, the industry has noted the presence of unaccounted PFCs that are generated outside the conventional AE definition. Two additional AE categories have been proposed, namely low-voltage, propagating AEs (LVP-AEs) and nonpropagating AEs (NP-AEs) that relate to continuous, background levels of PFC emissions. These unaccounted PFC phenomena may help explain the recent discrepancy between industry accounting and atmospheric measurements of global PFC emissions. Estimates from AGAGE, a global network of atmospheric observatories, suggest as much as 50% underaccounting of PFCs by the aluminum industry in the 2006–2010 period. The following work reviews this discrepancy and the potential role played by LVP-AEs and NP-AEs. © 2015, The Minerals, Metals & Materials Society.",Aluminum plants; Electrodes; Greenhouse gases; Ore reduction; Aluminum industry; Aluminum reduction cells; Anode effects; Atmospheric measurement; Background level; Carbon compounds; Global networks; Low voltages; Aluminum
Elnakar H.,Disinfection and antimicrobial processes,2020,10.1002/wer.1409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088975948&doi=10.1002%2fwer.1409&partnerID=40&md5=b6431aa32989492cff18e7f602d1d544,"This is a review of some of the literature published in 2019 related to disinfection and antimicrobial processes. This review includes the following main sections: drinking water disinfection, wastewater disinfection, and antimicrobial resistance. Practitioner points: Emerging technologies to disinfect viruses in drinking water treatment plants are growing. Developing processes to adequately treat bypass wastewater exceeding the plant’s capacity is crucial. Antimicrobial resistance poses a major challenge leading to being classified as emerging pollutants. © 2020 Water Environment Federation",Disinfection; Potable water; Viruses; Water treatment; Antimicrobial resistances; Developing process; Drinking water disinfection; Emerging pollutants; Emerging technologies; Wastewater disinfection; Wastewater treatment; antiinfective agent; drinking water; antiinfective agent; antimicrobial activity; disinfection; literature review; wastewater treatment; wastewater treatment plant; antibiotic resistance; bypass wastewater; disinfection; human; municipal wastewater; priority journal; quantitative microbial risk assessment; Review; risk assessment; waste water; waste water recycling; waste water treatment plant; water treatment; disinfection; wastewater; water management; Anti-Bacterial Agents; Disinfection; Drinking Water; Waste Water; Water Purification
"Bilska-Markowska M., Szwajca A., Marciniak B.","Design, properties and applications of fluorinated and fluoroalkylated N-containing monosaccharides and their analogues",2019,10.1016/j.jfluchem.2019.109364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072757905&doi=10.1016%2fj.jfluchem.2019.109364&partnerID=40&md5=a9ed214600f6358f089c89f178835db5,"Carbohydrates are now recognized as important players in many areas of research. The aim of this review is to point out the achievements in the field of fluorinated and fluoroalkylated amino-functionalised monosaccharides and analogues, their synthesis and properties. Both direct introduction of fluorine atom/s and building block methods are taken into consideration. Furthermore, we focused on moving these compounds from the laboratory to the medical setting as well as extending their applications on future issues. © 2019 Elsevier B.V.",NA
"Sharifan H., Bagheri M., Wang D., Burken J.G., Higgins C.P., Liang Y., Liu J., Schaefer C.E., Blotevogel J.",Fate and transport of per- and polyfluoroalkyl substances (PFASs) in the vadose zone,2021,10.1016/j.scitotenv.2021.145427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100403776&doi=10.1016%2fj.scitotenv.2021.145427&partnerID=40&md5=b1c4a78c5823f994d7237d2d2910e67a,"Per- and polyfluoroalkyl substances (PFASs) are a heterogeneous group of persistent organic pollutants that have been detected in various environmental compartments around the globe. Emerging research has revealed the preferential accumulation of PFASs in shallow soil horizons, particularly at sites impacted by firefighting activities, agricultural applications, and atmospheric deposition. Once in the vadose zone, PFASs can sorb to soil, accumulate at interfaces, become volatilized, be taken up in biota, or leach to the underlying aquifer. At the same time, polyfluorinated precursor species may transform into highly recalcitrant perfluoroalkyl acids, changing their chemical identity and thus transport behavior along the way. In this review, we critically discuss the current state of the knowledge and aim to interconnect the complex processes that control the fate and transport of PFASs in the vadose zone. Furthermore, we identify key challenges and future research needs. Consequently, this review may serve as an interdisciplinary guide for the risk assessment and management of PFAS-contaminated sites. © 2021 Elsevier B.V.",Agricultural robots; Aquifers; Meteorological problems; Risk assessment; Soils; Atmospheric depositions; Contaminated sites; Environmental compartment; Fate and transport; Perfluoroalkyl acids; Persistent organic pollutant (POP); Polyfluoroalkyl substances; Risk assessment and managements; Organic pollutants; chemical compound; perfluoroalkyl substance; polyfluoroalkyl substance; unclassified drug; water; air-water interaction; biodegradation; biological uptake; environmental fate; microbial community; pollutant source; pollutant transport; soil horizon; sorption; vadose zone; air; anaerobic metabolism; aquifer; atmospheric deposition; biodegradability; bioremediation; biota; biotransformation; chemical interaction; chemical modification; chemical parameters; chemical phenomena; community structure; earthworm; environment; environmental impact; environmental management; foam; microbial activity; microbial community; microorganism; nonhuman; plant metabolism; plant physiology; plant root; Review; risk assessment; soil acidity; soil pollutant; soil pollution; surface property; vadose zone; volatilization
"Li D., Londhe K., Chi K., Lee C.-S., Venkatesan A.K., Hsiao B.S.",Functionalized bio-adsorbents for removal of perfluoroalkyl substances: A perspective,2021,10.1002/aws2.1258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121795700&doi=10.1002%2faws2.1258&partnerID=40&md5=38c95452ce7184d108596c8958aadcb0,"Poly- and perfluoroalkyl substances (PFAS) are known as “forever chemicals” due to their ubiquitous persistence in the environment, and their negative human health effects. Among them, short-chain PFAS are of increasing concern due to their high solubility and mobility in water, while possessing persistency and toxicity nature like their longer-chain analogs. The most common method for PFAS removal from water is by sorption with activated carbons or ion exchange resins, but these adsorbents only exhibit limited removal efficiency against short-chain PFAS, and they require frequent replacement leading to high operational cost. Here we review and discuss the potential of using bio-adsorbents, which can be derived from common biomass feedstocks, as low-cost alternatives to traditional adsorbents, while these materials can also possess good removal efficiency against short-chain PFAS. We further provide the perspective on the designs of low-cost, activated bio-adsorbent systems that can be implemented for effective removal of short-chain PFAS. © 2021 The Authors. AWWA Water Science published by Wiley Periodicals LLC on behalf of American Water Works Association.",Activated carbon; Costs; Efficiency; Ion exchange; Bioadsorbent; Functionalized; High mobility; High solubility; Human health effects; Low-costs; Nature likes; Perfluoroalkyl substances; Removal efficiencies; Shorter chains; Ion exchange resins
"Lyu X.-Y., Sun Y.-Y., Yu Z.-G., Wu J.-C.","Research progress on the pollution, adsorption, and transport of perfluorooctanoic acid (PFOA ) at the sediment-water interface [全氟辛酸在沉积物-水界面污染及吸附迁移行为研究进展]",2021,10.13287/j.1001-9332.202111.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120543177&doi=10.13287%2fj.1001-9332.202111.034&partnerID=40&md5=12c3ac01c13c3d1553e67dedeedc37b3,"Perfluorooctanoic acid (PFOA) is an important perfluorinated surfactant, which has received great attention as an emerging pollutant, due to its persistence, high toxicity, and bioaccumulation. Sediment is an important environmental reservoir for PFOA, while polluted sediment can serve as a long-term contamination source causing pollution to overlying surface water and surrounding groundwater. Here, the source, pollution level, adsorption and transport of PFOA at the sediment-water interface were systematically reviewed. Industrial discharge was the major release for PFOA entering surface water and sediment. PFOA was generally at ng•L-1 and ng•g-1 levels in global surface water and sediment. More serious pollution was found in some parts of China. Sediment composition, hadrochemical condition, natural organic matter, and surfactants could strongly affect PFOA adsorption in sediment, though the controlling mechanisms were controversial. Research on PFOA transport in sediment had just been started with limited progress. There is a great gap in understanding the mechanisms underlying PFOA transport in sediment, which should be strengthened in the future. © 2021, Science Press. All right reserved.",adsorption; chemical composition; chemical compound; groundwater; groundwater-surface water interaction; multireservoir system; organic matter; pollutant source; reservoir; sediment-water interface; surfactant; toxicity; China; fluorocarbon; octanoic acid; perfluorooctanoic acid; water; adsorption; Adsorption; Caprylates; Fluorocarbons; Water
"Magdalon J., Mansur F., Teles e Silva A.L., de Goes V.A., Reiner O., Sertié A.L.",Complement System in Brain Architecture and Neurodevelopmental Disorders,2020,10.3389/fnins.2020.00023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079682585&doi=10.3389%2ffnins.2020.00023&partnerID=40&md5=534faa05972484e36ba49e6ff8bea06d,"Current evidence indicates that certain immune molecules such as components of the complement system are directly involved in neurobiological processes related to brain development, including neurogenesis, neuronal migration, synaptic remodeling, and response to prenatal or early postnatal brain insults. Consequently, complement system dysfunction has been increasingly implicated in disorders of neurodevelopmental origin, such as schizophrenia, autism spectrum disorder (ASD) and Rett syndrome. However, the mechanistic evidence for a causal relationship between impaired complement regulation and these disorders varies depending on the disease involved. Also, it is still unclear to what extent altered complement expression plays a role in these disorders through inflammation-independent or -dependent mechanisms. Furthermore, pathogenic mutations in specific complement components have been implicated in the etiology of 3MC syndrome, a rare autosomal recessive developmental disorder. The aims of this review are to discuss the current knowledge on the roles of the complement system in sculpting brain architecture and function during normal development as well as after specific inflammatory insults, such as maternal immune activation (MIA) during pregnancy, and to evaluate the existing evidence associating aberrant complement with developmental brain disorders. © Copyright © 2020 Magdalon, Mansur, Teles e Silva, de Goes, Reiner and Sertié.",classical complement pathway C3 C5 convertase; collectin; collectin 10; collectin 11; complement component C1q; complement component C1r; complement component C1s; complement component C2b; complement component C3a; complement component C3a receptor; complement component C3b; complement component C3b receptor; complement component C4b; complement component C5a; complement component C5a receptor; complement component C5b; complement component C6; complement component C7; complement component C8; complement component C9; complement factor I; complement receptor; ficolin; ficolin 1; ficolin 2; ficolin 3; mannose binding lectin; mannose binding lectin associated serine protease 1; mannose binding lectin associated serine protease 2; unclassified drug; unindexed drug; 3MC syndrome; autism; autosomal recessive disorder; complement activation; developmental disorder; disease predisposition; DSM-5; enzyme activity; enzyme linked immunosorbent assay; human; immunological parameters; maternal immune activation; nervous system development; nonhuman; pathogenesis; pregnancy; protein binding; protein cleavage; protein expression; Rett syndrome; Review; schizophrenia; single nucleotide polymorphism
"Kovářová J., Svobodová Z.",Perfluorinated compounds: Occurrence and risk profile,2008,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149129720&partnerID=40&md5=34c8ea7c55ac62e9571836dd8af9ac7a,"Perfluorinated compounds (PFCs) such as perfluoro-octane sulphonate (PFOS) and perfluorooctanoic acid (PFOA) are emerging environmental pollutants, arising mainly from their use as surface treatment chemicals, polymerization aids and surfactants. They are ubiquitous, persistent and bioaccumulative in the environment. Perfluorinated compounds are being proposed as a new class of POPs. Although tests in rodents have demonstrated numerous negative effects of PFCs, it is unclear if exposure to perfluorinated compounds may affect human health. This review provides an overview of the recent toxicology and toxicokinetics, monitoring data now available for the environment, wildlife, and humans and attempts to explain the mechanisms of action of PFCS. © 2008 Neuroendocrinology Letters.","perflubutane; perfluoro compound; perfluorooctanesulfonic acid; perfluorooctanoic acid; bioaccumulation; chemical carcinogenesis; endocrine disease; environmental exposure; fetotoxicity; food contamination; freshwater environment; health hazard; human; immunotoxicity; industrial area; liver carcinogenesis; liver toxicity; marine environment; neurotoxicity; nonhuman; pollution; pollution monitoring; prenatal exposure; review; soil pollution; water pollution; water sampling; Animals; Animals, Wild; Ecosystem; Environmental Pollutants; Fluorocarbons; Fresh Water; Humans; Risk Assessment"
"Ghisi R., Vamerali T., Manzetti S.",Accumulation of perfluorinated alkyl substances (PFAS) in agricultural plants: A review,2019,10.1016/j.envres.2018.10.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057294743&doi=10.1016%2fj.envres.2018.10.023&partnerID=40&md5=e9a19e1fb90c992b85da837d3d00377b,"PFASs are a class of compounds that include perfluoroalkyl and polyfluoroalkyl substances, some of the most persistent pollutants still allowed - or only partially restricted - in several product fabrications and industrial applications worldwide. PFASs have been shown to interact with blood proteins and are suspected of causing a number of pathological responses, including cancer. Given this threat to living organisms, we carried out a broad review of possible sources of PFASs and their potential accumulation in agricultural plants, from where they can transfer to humans through the food chain. Analysis of the literature indicates a direct correlation between PFAS concentrations in soil and bioaccumulation in plants. Furthermore, plant uptake largely changes with chain length, functional group, plant species and organ. Low accumulations of perfluorooctanoic acid (PFOA) and perfluorooctane sulfonic acid (PFOS) have been found in peeled potatoes and cereal seeds, while short-chain compounds can accumulate at high levels in leafy vegetables and fruits. Significant variations in PFAS buildup in plants according to soil amendment are also found, suggesting a particular interaction with soil organic matter. Here, we identify a series of challenges that PFASs pose to the development of a safe agriculture for future generations. © 2018 Elsevier Inc.","alkyl group; perfluorinated alkyl substance; perfluoro compound; perfluorooctanesulfonic acid; perfluorooctanoic acid; soil organic matter; unclassified drug; alkanesulfonic acid; fluorocarbon; bioaccumulation; biological uptake; cereal; concentration (composition); crop plant; fluorocarbon; food chain; literature review; pollutant source; soil pollution; vegetable; water pollution; agriculture; bioaccumulation; cereal; food chain; fruit; leafy vegetable; plant; potato; priority journal; Review; soil amendment; vegetable; agriculture; human; metabolism; plant; pollutant; water pollutant; Solanum tuberosum; Agriculture; Alkanesulfonic Acids; Environmental Pollutants; Fluorocarbons; Humans; Plants; Water Pollutants, Chemical"
