Authors,Title,Year,DOI,Link,Abstract,Index.Keywords
"Smits R., Koksch B.","How Cα-fluoroalkyl amino acids and peptides interact with enzymes: Studies concerning the influence on proteolytic stability, enzymatic resolution and peptide coupling",2006,10.2174/156802606777951055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746593245&doi=10.2174%2f156802606777951055&partnerID=40&md5=b6d92fd2467ead5627966f6961db7400,"Combination of the unique physical and chemical properties of fluorine with proteinogenic amino acids represents a new approach for the design of biologically active peptides with improved pharmacological parameters that carry a powerful label for spectroscopic analysis. However, the general consequences of amino acid fluorination on structure and activity of peptides and proteins are still controversially discussed. Studying the interaction of fluorinated amino acids with enzyme active sites provides valuable information on how fluoroalkyl groups of peptide-based drugs might interact with target proteins or receptors. Therefore, different enzymatic approaches including proteolysis studies, enzymatic resolutions and peptide bond couplings were studied by our group. © 2006 Bentham Science Publishers Ltd.","2 amino 2 methylpropionic acid; alanine derivative; alkyl group; amidase; amide; amino acid derivative; anorexigenic agent; antidepressant agent; antidiabetic agent; antiinfective agent; antilipemic agent; antineoplastic agent; antivirus agent; carbon; carboxypeptidase C; chymotrypsin A; clostripain; dipeptide derivative; enzyme inhibitor; esterase; fluorine; papain; peptide derivative; phenylalanine derivative; polypeptide antibiotic agent; protirelin; protirelin derivative; subtilisin; trypsin; unindexed drug; amino acid substitution; catalysis; chemical bond; conformational transition; drug design; drug protein binding; drug receptor binding; drug structure; drug synthesis; enzymatic degradation; enzyme active site; enzyme mechanism; fluorination; hormone inhibition; human; nonhuman; pharmacological parameters; physical chemistry; protein degradation; protein function; protein protein interaction; protein stability; protein structure; protein targeting; review; spectroscopy; structure analysis; Amino Acids; Drug Interactions; Enzyme Stability; Enzymes; Fluorine; Hydrocarbons, Fluorinated; Molecular Structure; Peptides; Protein Engineering"
"Lufrano F., Baglio V., Staiti P., Antonucci V., Arico' A.S.",Performance analysis of polymer electrolyte membranes for direct methanol fuel cells,2013,10.1016/j.jpowsour.2013.05.180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879866464&doi=10.1016%2fj.jpowsour.2013.05.180&partnerID=40&md5=9d94d678582690750661a3011be28641,"The status of research and development of polymer electrolyte membranes (PEMs) for direct methanol fuel cells (DMFCs) is described. Perfluorosulfonic acid membranes, e.g. Nafion, are widely used in fuel cell technology; but, despite their success, they show some drawbacks such as high cost, limited operating temperature range and high methanol crossover. These limit their widespread commercial application in DMFCs. Such disadvantages are inspiring worldwide research activities for developing new PEM materials based on non-perfluorinated polymers as alternative to Nafion for DMFCs. A review of membrane properties is carried out on the basis of thermal stability, methanol crossover and proton conductivity. The analysis of DMFC performance covers perfluorosulfonic acid membranes (PFSA), sulfonated aromatic polymers (SAPs) and composite membranes. PFSA membranes are suitable materials in terms of power density, SAPs are more advantageous regarding the low methanol permeability and cost, whereas composite membranes are more appropriate for operation above 100 C. DMFC power density values reported in literature show that, although there are remarkable research efforts on this subject, the achieved results are not yet satisfying. Further work is especially necessary on non-perfluorinated polymers to improve performance and durability for an effective application in practical DMFC devices. © 2013 Elsevier B.V. All rights reserved.",Direct methanol fuel cells (DMFCs); Low methanol permeability; Operating temperature ranges; Perfluorosulfonic acid; Perfluorosulfonic acid membranes; Performance analysis; Polymer electrolyte membranes; Sulfonated aromatic polymers; Composite membranes; Direct methanol fuel cells (DMFC); Polyelectrolytes; Research; Membranes
"Dong D.-Q., Yang H., Shi J.-L., Si W.-J., Wang Z.-L., Xu X.-M.",Promising reagents for difluoroalkylation,2020,10.1039/d0qo00567c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093702901&doi=10.1039%2fd0qo00567c&partnerID=40&md5=756f93e40c050611f51beff8dda7cb31,"This review describes recent advances in difluoroalkylation reactions using different substrates. Generally speaking, RCF2 radical is generally proposed in the mechanism of these reactions. At present, the most used difluoroalkylation reagent is RCF2X, which can be reduced by metal, photocatalyst or bases to RCF2 radical. Various substrates such as alkenes, alkynes, amines and so on could well be applied to these difluoroalkylation reactions. © 2020 the Partner Organisations.",Amines; Hydrocarbons; Different substrates; Various substrates; Reagents
"Cousins I.T., Vestergren R., Wang Z., Scheringer M., McLachlan M.S.",The precautionary principle and chemicals management: The example of perfluoroalkyl acids in groundwater,2016,10.1016/j.envint.2016.04.044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975322572&doi=10.1016%2fj.envint.2016.04.044&partnerID=40&md5=9ad58bd4026c21aad5c71b1cccfebc58,"Already in the late 1990s microgram-per-liter levels of perfluorooctane sulfonate (PFOS) were measured in water samples from areas where fire-fighting foams were used or spilled. Despite these early warnings, the problems of groundwater, and thus drinking water, contaminated with perfluoroalkyl and polyfluoroalkyl substances (PFASs) including PFOS are only beginning to be addressed. It is clear that this PFAS contamination is poorly reversible and that the societal costs of clean-up will be high. This inability to reverse exposure in a reasonable timeframe is a major motivation for application of the precautionary principle in chemicals management. We conclude that exposure can be poorly reversible; 1) due to slow elimination kinetics in organisms, or 2) due to poorly reversible environmental contamination that leads to continuous exposure. In the second case, which is relevant for contaminated groundwater, the reversibility of exposure is not related to the magnitude of a chemical's bioaccumulation potential. We argue therefore that all PFASs entering groundwater, irrespective of their perfluoroalkyl chain length and bioaccumulation potential, will result in poorly reversible exposures and risks as well as further clean-up costs for society. To protect groundwater resources for future generations, society should consider a precautionary approach to chemicals management and prevent the use and release of highly persistent and mobile chemicals such as PFASs. © 2016 Elsevier Ltd.","Bioaccumulation; Biochemistry; Chemicals; Contamination; Fire extinguishers; Groundwater; Groundwater resources; Potable water; Bioaccumulation potential; Chemicals management; Environmental contamination; Microgram-per-liter level; Perfluorooctane sulfonates; PFASs; Polyfluoroalkyl substances; Precautionary principle; Groundwater pollution; alkyl group; drinking water; fluoride; ground water; perfluoroalkane sulfonyl fluoride; perfluoroalkyl acid; perfluorohexanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; surface water; unclassified drug; alkanesulfonic acid; fluorocarbon; ground water; bioaccumulation; chemical pollutant; drinking water; groundwater pollution; organic acid; persistent organic pollutant; precautionary principle; reaction kinetics; bioaccumulation; case study; concentration (parameters); cost benefit analysis; environmental exposure; environmental management; human; limit of detection; priority journal; Review; sediment; soil analysis; water analysis; water pollution; prevention and control; water pollutant; water pollution; Alkanesulfonic Acids; Drinking Water; Environmental Exposure; Fluorocarbons; Groundwater; Humans; Water Pollutants, Chemical; Water Pollution"
"Yadav S., Ibrar I., Al-Juboori R.A., Singh L., Ganbat N., Kazwini T., Karbassiyazdi E., Samal A.K., Subbiah S., Altaee A.",Updated review on emerging technologies for PFAS contaminated water treatment,2022,10.1016/j.cherd.2022.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129735080&doi=10.1016%2fj.cherd.2022.04.009&partnerID=40&md5=3fc9bfb428c5762a69997920b8a5e943,"Despite the rapid advances in treatment technologies for per-fluoroalkyl and poly-fluoroalkyl substances (PFAS) removal, the efficiency and practicality of these technologies would be either questionable or not cost-competitive sometimes. Several studies have successfully removed or destroyed PFAS from aqueous solutions but only to a limited level. Nevertheless, the treatment technologies are still evolving, and thus, long-term strategies should be implemented with caution. In this study, the physical and chemical properties of PFAS were provided. The emerging treatment technologies for PFAS removal, such as ion exchange resins, adsorption, advanced oxidation process, and membrane-based separation, are briefly reviewed in this paper. The treatment's mechanisms and future research trends are covered to provide insight into the technologies above. The study covered the treatment technologies for PFAS removal systematically and hierarchically and delivered a guideline for creating efficient and robust treatment technology for PFAS treatment. © 2022 Institution of Chemical Engineers",Ion exchange; Membrane technology; Water pollution; Water treatment; Advanced oxidation process and membrane technology; Advanced Oxidation Processes; Contaminated water; Cost competitive; Emerging technologies; Ion-exchange resins; Long-term strategy; Physical and chemical properties; Poly-fluoroalkyl substance; Treatment technologies; Ion exchange resins
Tsai W.-T.,Environmental risk assessment of hydrofluoropolyethers (HFPEs),2007,10.1016/j.jhazmat.2006.10.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845395567&doi=10.1016%2fj.jhazmat.2006.10.025&partnerID=40&md5=d50ba8827d1957eaf73a68c2ed27e621,"Hydrofluoropolyethers (HFPEs), a new family of linear oligomeric fluorinated fluids, are being used as potential replacements for halon, hydrochlorofluorocarbons (HCFCs) and perfluorocarbons (PFCs) that have been listed as ozone depleting substances and/or greenhouse gases. Because of their physicochemical properties, these substances may be industrially used as cleaning solvents in the electronic components, fire suppression agents in the fire protection, and heat transfer fluids in the heat exchangers. From the environmental, ecological, and healthy points of view, it is urgent to understand their environmental risks of these HFPEs. This article aimed at introducing these HFPEs in physiochemical properties and potential uses, and evaluating their environmental risks (i.e., global warming, photochemical potential, and environmental partition). Further, the updated data on their toxicological profiles and potential exposure hazards from their degradation products were also addressed in this paper. It is indicated that HFPEs still pose some significant hazards, especially global warming and photochemical potentials, to the atmosphere. Regarding the estimation of partition properties (i.e., vapor pressure, octanol-water partition coefficient and bioconcentration) of HFPEs, the predicted values of log Kow for several HFPEs were found to be below zero, suggesting that they should possess very low potential for bioaccumulation in the environment. © 2006.","Environmental impact; Global warming; Oligomers; Solvents; Environmental risks; Exposure hazard; Hydrofluoropolyethers (HFPE); Photochemical potential; Ethers; chlorofluorohydrocarbon; fluorocarbon; hydrofluoropolyether; octanol; polyether derivative; water; Environmental impact; Ethers; Global warming; Oligomers; Solvents; bioaccumulation; environmental risk; global warming; greenhouse gas; hydrofluorocarbon; risk assessment; toxicity; atmosphere; bioaccumulation; chemical structure; environmental exposure; environmental impact; fire protection; fluorination; greenhouse effect; heat exchange; ozone layer; partition coefficient; physical chemistry; pollution; review; risk assessment; statistical significance; vapor pressure; Environment; Environmental Exposure; Environmental Pollutants; Ethers; Humans; Hydrocarbons, Fluorinated; Risk Assessment"
NA,Association between per- and polyfluoroalkyl substances and risk of gestational diabetes mellitus,2022,NA,NA,"Background: Existing evidence suggests that perfluoroalkyl and polyfluoroalkyl substances (PFASs) exposure might contribute to the incidence of gestational diabetes mellitus (GDM). This study aimed to perform a meta-analysis to identify the association between PFAS and the risk of GDM. Methods: We systematically searched PubMed, Ovid, Cochrane Library, and Web of Science databases for appropriate articles about the association between PFASs exposure and the risk of GDM before September 28, 2020. Odds ratios (OR) with 95% confidence intervals (CIs) were summarized by Stata 16.0 through fixed effect models according to heterogeneity. We also carried out subgroup analyses by geographic location, blood sampling time of subjects, method of chemical analysis, study design, sample size, and sampling year. In addition, a sensitivity analysis was conducted to explore the robustness of the results. Results: A total of eight studies involving 5654 pregnant women were included in the meta-analysis. Perfluorooctanoic acid (PFOA) exposure was positively and significantly associated with the risk of GDM (OR = 1.27, 95% CI: 1.02–1.59). Exposure to other types of PFASs such as perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA) was not statistically significantly associated with the risk of GDM with the pooled effect estimates of 0.97 (95% CI: 0.86–1.09), 1.03 (95% CI: 0.86–1.24), and 0.80 (95% CI: 0.55–1.16) respectively. Conclusion: We conducted a meta-analysis to investigate the association between PFASs exposure and GDM and found that PFOA concentration was significantly associated with a higher risk of GDM, which is of great significance for the prevention and control of GDM in public health. Further studies are needed in order to establish causality and clarify the potential mechanism. © 2021",NA
"Vendl C., Pottier P., Taylor M.D., Bräunig J., Gibson M.J., Hesselson D., Neely G.G., Lagisz M., Nakagawa S.",Thermal processing reduces PFAS concentrations in blue food – A systematic review and meta-analysis,2022,10.1016/j.envpol.2022.119081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129411929&doi=10.1016%2fj.envpol.2022.119081&partnerID=40&md5=b17266353629da19aacc7c3e0fe2eaa0,"Per- and polyfluoroalkyl substances (PFAS) are ubiquitous in the environment and often ingested with food. PFAS exposure in people can have detrimental health consequences. Therefore, reducing PFAS burdens in food items is of great importance to public health. Here, we investigated whether cooking reduces PFAS concentrations in animal-derived food products by synthesizing experimental studies. Further, we examined the moderating effects of the following five variables: cooking time, liquid/animal tissue ratio, cooking temperature, carbon chain length of PFAS and the cooking category (oil-based, water-based &amp; no-liquid cooking). In our systematic review searches, we obtained 512 effect sizes (relative differences in PFAS concentration between raw and cooked samples) from 10 relevant studies. These studies exclusively explored changes in PFAS concentrations in cooked seafood and freshwater fish. Our multilevel-meta-analysis has revealed that, on average, cooking reduced PFAS concentrations by 29%, although heterogeneity among effect sizes was very high (I2 = 94.65%). Our five moderators cumulatively explained 49% of the observed heterogeneity. Specifically, an increase in cooking time and liquid/animal tissue ratio, as well as shorter carbon chain length of PFAS (when cooked with oil) were associated with significant reductions in PFAS concentrations. The effects of different ways of cooking depended on the other moderators, while the effect of cooking temperature itself was not significant. Overall, cooking can reduce PFAS concentrations in blue food (seafood and freshwater fish). However, it is important to note that complete PFAS elimination requires unrealistically long cooking times and large liquid/animal tissue ratios. Currently, literature on the impact of cooking of terrestrial animal produce on PFAS concentrations is lacking, which limits the inference and generalisation of our meta-analysis. However, our work represents the first step towards developing guidelines to reduce PFAS in food via cooking exclusively with common kitchen items and techniques. © 2022 Elsevier Ltd",Carbon; Fish; Liquids; Meats; Moderators; Oils and fats; Tissue; Water; Cooking time; Data synthesis; Human exposures; Meta-analysis; Meta-regression; PFOA; PFOS; Polyfluoroalkyl substances; POP; Substance concentrations; Cooking; carbon; chemical compound; perfluorooctanoic acid; polyfluoroalkyl substance; unclassified drug; water; alkanesulfonic acid; carbon; fluorocarbon; concentration (composition); food quality; literature review; meta-analysis; organofluorine; persistent organic pollutant; seafood; concentration (parameter); cooking; data synthesis; effect size; food analysis; food contamination; food intake; freshwater fish; human; nonhuman; practice guideline; raw food; Review; sea food; systematic review; temperature sensitivity; animal; cooking; fish; meta analysis; Alkanesulfonic Acids; Animals; Carbon; Cooking; Fishes; Fluorocarbons; Humans; Seafood
"Martin J.W., Kannan K., Berger U., De Voogt P., Field J., Franklin J., Giesy J.P., Harner T., Muir D.C.G., Scott B., Kaiser M., Järnberg U., Jones K.C., Mabury S.A., Schroeder H., Simcik M., Sottani C., Van Bavel B., Kärrman A., Lindström G., Van Leeuwen S.",Analytical challenges hamper perfluoroalkyl research,2004,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042715240&partnerID=40&md5=a37a7e38bbc0f959f7a17cc5a3b1e57f,"The growing concern over these organohalogens, some of which have been found in human blood and appear to be widespread in the environment, led researchers to gather in Hamburg, Germany, in 2003 to evaluate the current state of methods to analyze for the organic contaminants. Jonathan Martin of the University of Toronto and 20 colleagues from industry, government, and academia summarize the main recommendations from the workshop.","Organic contaminants; Organohalogens; Blood; Environmental impact; Halogen compounds; Impurities; Environmental engineering; alkyl group; organohalogen derivative; perflexane; perfluoro compound; health impact; organohalogen; bioaccumulation; blood level; Germany; high performance liquid chromatography; human; human tissue; laboratory; nuclear magnetic resonance spectroscopy; partition coefficient; peer review; pollutant; quality control; review; standard; tandem mass spectrometry; workshop; Chemistry, Analytical; Chromatography; Environmental Pollutants; Fluorocarbons; Magnetic Resonance Spectroscopy; Reference Standards"
"Väkevä A., Laurila P., Meri S.",Regulation of complement membrane attack complex formation in myocardial infarction,1993,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027746117&partnerID=40&md5=633aabf71c68c685b190844d361a00ec,"Recent studies have suggested that the complement (C) system is involved in the development of tissue injury of myocardial infarction. As it is not known why the strictly controlled C system starts to react against autologous heart tissue, we have analyzed the expression of various membrane regulators of C (CR1, DAF, MCP, CD59, C8 binding protein) and the pattern of deposition of C components and plasma C regulators (C4b binding protein and vitronectin) in normal (n = 7) and infarcted (n = 13) human myocardium. In the infarcted myocardium deposits of the C membrane attack complex (MAC) were observed by immunofluorescence microscopy, and lesions resembling the transmembrane channels of MAC were detected by transmission electron microscopy. CD59 and C8 binding protein were strongly expressed by muscle cells of normal myocardial tissue. Little or no CR1, MCP, and DAF was observed on these cells. The assembly of MAC was accompanied by the deposition of vitronectin (S-protein) and C4b binding protein in the infarcted areas of myocardium. In accordance with our earlier results the expression of CD59 but not of C8 binding protein was clearly diminished in the lesions. The results show that C8 binding protein, vitronectin, and C4b binding protein do not prevent complement attack against the infarcted myocardium but rather become codeposited with the MAC. Ischemia-induced transformation of nonviable cells into complement activators, acquired loss of resistance to the MAC by shedding of CD59, and recruitment of multifunctional serum proteins by MAC could thus constitute a general process aimed at the clearance of injured tissue.","binding protein; cd59 antigen; complement component c4b; complement membrane attack complex; regulator protein; vitronectin; antigen expression; cell transformation; complement activation; complex formation; heart infarction; human; human tissue; immunofluorescence microscopy; immunohistochemistry; membrane channel; priority journal; review; transmission electron microscopy; Aged; Aged, 80 and over; Complement C4; Complement Membrane Attack Complex; Female; Fluorescent Antibody Technique; Glycoproteins; Humans; Immunoenzyme Techniques; Immunohistochemistry; Macrophage Activation; Male; Microscopy, Electron; Middle Aged; Myocardial Infarction; Sarcolemma; Time Factors; Vitronectin"
