Authors,Title,Year,DOI,Link,Abstract,Index Keywords
"Wang X., Gong P., Wang C., Ren J., Yao T.","A review of current knowledge and future prospects regarding persistent organic pollutants over the Tibetan Plateau",2016,"10.1016/j.scitotenv.2016.08.107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989841756&doi=10.1016%2fj.scitotenv.2016.08.107&partnerID=40&md5=672ff8937c48cbecf5f2a7b18ecdee01","Since the turn of the century, our understanding of the quantities, transport pathways, and fate of persistent organic pollutants (POPs) over the Tibetan Plateau (TP), the largest and highest plateau on Earth, has greatly enhanced. We begin in this article by reviewing the available literature on the levels of POPs over the TP. In general, the levels of most POPs are similar or lower than values reported for other background regions. However, dichlorodiphenyltrichloroethane (DDT) and hexachlorocyclohexane (HCH) levels in air and soil far exceed those measured in other mountainous areas. The East Asian monsoon, Indian Monsoon and westerly winds are responsible for the long-range atmospheric transport (LRAT) and arrival of POPs over the TP. Surface soil and vegetation act as “final sinks” for DDTs and other high molecular weight POPs. Linked to the continuous use of POPs in surrounding counties, LRAT and “cold trapping” by the TP can happen following emission–transport–deposition events, leading to the enrichment of POPs in the TP environment. Bioaccumulation of DDTs and high chlorinated PCBs have been found in Tibetan terrestrial and aquatic food chains, and newly emerging compounds such as polyfluoroalkyl substances and hexabromocyclododecanes have been widely detected in wild fish species. The corresponding ecological risks should be of great concern. Climate change, such as increased temperatures and changing coverage of snow and glaciers, has the potential to affect the behavior and distribution of POPs. Therefore, long-term monitoring data are required. Ineffective regulation regarding POPs has been reported for countries in South Asia, emissions patterns, the outflow of POPs, and their seasonal and inter-annual variability should therefore be clarified. Estimating the loading of POPs, as well as how they move, within the TP, especially under the impact of glacial melt and global warming, should be a priority. © 2016","Atmospheric movements; Atmospheric thermodynamics; Biochemistry; Chemical contamination; Climate change; Ecology; Global warming; Pollution; Polychlorinated biphenyls; Dichlorodiphenyltrichloroethane; Long-range atmospheric transports; Long-term monitoring datum; Persistent organic pollutant (POP); Persistent organic pollutants; Sink; Source; Tibetan Plateau; Organic pollutants; chemical compound; chlorphenotane; hexabromocyclododecane; hexachlorobenzene; hexachlorocyclohexane; organic carbon; organic matter; perfluoroalkyl acid; polybrominated diphenyl ether; polychlorinated biphenyl; polychlorinated dibenzodioxin; polychlorinated dibenzofuran; polychlorinated naphthalene; rain; snow; unclassified drug; chlorphenotane; lindane; atmospheric transport; bioaccumulation; climate change; DDT; fish; future prospect; HCH; long range transport; persistent organic pollutant; air pollution; atmospheric deposition; atmospheric transport; bioaccumulation; climate change; concentration (parameters); environmental temperature; fish; food chain; human; nonhuman; persistent organic pollutant; pollution; priority journal; Review; soil pollution; surface soil; Tibet; vegetation; water pollution; yak; air pollutant; analysis; environmental monitoring; forecasting; procedures; wind; China; Qinghai-Xizang Plateau; Air Pollutants; Climate Change; DDT; Environmental Monitoring; Forecasting; Lindane; Tibet; Wind"
"Ahn C.-I., Park Y.M., Cho J.M., Lee D.H., Chung C.-H., Cho B.G., Bae J.W.","Fischer-Trospch Synthesis on Ordered Mesoporous Cobalt-Based Catalysts with Compact Multichannel Fixed-Bed Reactor Application: A Review",2016,"10.1007/s10563-016-9219-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990817900&doi=10.1007%2fs10563-016-9219-5&partnerID=40&md5=44ea33cb2a6c622386d49bcc61042c16","CO hydrogenation to hydrocarbons through Fischer–Tropsch synthesis (FTS) reaction is one of the promising chemical processes, which can convert alternative feedstocks such as natural gas or biomass into synthetic fuels. The FTS reaction has received many attentions due to a limited petroleum resource with an increased demand for using alternative carbon sources such as stranded gas or shale gas. Some proper synthetic methods of an effective FTS catalyst having a larger active metal surface area and a lower deactivation rate are the most important issues for a long-term operation. Therefore, some ordered mesoporous materials (OMM) have been widely investigated in the field of CO hydrogenation using some heterogeneous catalysts. The present brief review paper summarized the various preparation methods of the ordered mesoporous materials for the possible applications of FTS reaction with a lower deactivation rate and a higher catalytic performance. The applications of the ordered mesoporous cobalt oxides for FTS reaction are briefly introduced and the ways to improve a structural stability even under reductive CO hydrogenation conditions by using efficient pillaring materials as well as by preparing mixed metal oxides. A higher catalytic activity of the ordered mesoporous cobalt oxide was also verified in a multi-channel fixed-bed compact reactor having the intersected interlayers of micro-channel heat exchanger. The thermal stability of ordered mesoporous cobalt-based catalysts was mainly affected by a structural stability which can easily remove the heavy hydrocarbons from the inner surfaces. © 2016, Springer Science+Business Media New York.",
"Arntsen C., Savage J., Tse Y.-L.S., Voth G.A.","Simulation of Proton Transport in Proton Exchange Membranes with Reactive Molecular Dynamics",2016,"10.1002/fuce.201600024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963624257&doi=10.1002%2ffuce.201600024&partnerID=40&md5=899241040e251e00ba3dae9871d30f81","Proton exchange membrane fuel cells (PEMFCs) are promising to become the next generation of energy conversion devices that are efficient, lightweight, and have clean emissions. In these cells, a hydrated polymer membrane acts as an electrolyte layer through which protons travel. Due to the complex nature of the membranes used, the optimization of fuel cell performance is a difficult task, and relies on a number of factors, such as hydration level, polymer side chain length and composition, equivalent weight, morphology, and chemical and mechanical stabilities. Molecular dynamics is a particularly powerful tool for studying PEMs, as it provides the computational efficiency to study length and time scales relevant to these systems. In this review, we present results from several computational papers that use reactive molecular dynamics, which explicitly describe bond breaking and formation, to study proton transport in several polymers commonly used in PEMs. The results presented demonstrate the importance of the interaction between hydronium and the charged side chains and the morphology on the performance of PEM fuel cells. Copyright © 2016 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Chain length; Chains; Computational chemistry; Computational efficiency; Electrolytes; Energy conversion; Fuel cells; Hydration; Membranes; Molecular dynamics; Polymers; Energy conversion devices; Fuel cell performance; Morphological effects; Perfluorosulfonic acid membranes; Proton exchange membrane fuel cell (PEMFCs); Proton exchange membranes; Proton transport; Reactive molecular dynamics; Proton exchange membrane fuel cells (PEMFC)"
"van Witteloostuijn S.B., Pedersen S.L., Jensen K.J.","Half-Life Extension of Biopharmaceuticals using Chemical Methods: Alternatives to PEGylation",2016,"10.1002/cmdc.201600374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995961416&doi=10.1002%2fcmdc.201600374&partnerID=40&md5=ca1add4115b40194c06aaa44cc89ed9b","Peptides and proteins constitute a vast pool of excellent drug candidates. Evolution has equipped these molecules with superior drug-like properties such as high specificity and potency. However, native peptides and proteins suffer from an inadequate pharmacokinetic profile, and their outstanding pharmacological potential can only be realized if this issue is addressed during drug development. To overcome this challenge, a variety of half-life extension techniques relying on covalent chemical modification have been developed. These methods include PEGylation, fusion to unstructured polypeptide-based PEG mimetics, conjugation of large polysaccharides, native-like glycosylation, lipidation, fusion to albumin or the Fc domain of IgG, and derivatization with bio-orthogonal moieties that direct self-assembly. This review provides an overview of available conjugation chemistries, biophysical properties, and safety data associated with these concepts. Moreover, the effects of these modifications on peptide and protein pharmacokinetics are demonstrated through key examples. © 2016 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","abatacept; aflibercept; albiglutide; asparaginase macrogol; bile acid; bipyridine; certolizumab pegol; continuous erythropoiesis receptor activator; etanercept; Fc receptor; hetastarch; hyaluronic acid; insulin degludec; insulin detemir; lipegfilgrastim; liraglutide; macrogol; pegademase; pegfilgrastim; peginterferon alpha2a; peginterferon alpha2b; peginterferon beta1a; pegloticase; pegvisomant; perfluoro compound; polysialic acid; recombinant blood clotting factor 8; rilonacept; romiplostim; unindexed drug; biological product; macrogol derivative; peptide; protein; acylation; alkylation; chemical modification; drug accumulation; drug conjugation; drug half life; drug safety; drug structure; elimination half-life; glycosylation; HAylation; HESylation; human; lipidation; nonhuman; oxidation; PEGylation; perfluoroalkylation; polysialylation; priority journal; protein glycosylation; Review; chemical structure; chemistry; half life time; metabolism; Biological Products; Half-Life; Humans; Molecular Structure; Peptides; Polyethylene Glycols; Proteins"
"Podack E.R., Munson G.P.","Killing of microbes and cancer by the immune system with three mammalian pore-forming killer proteins",2016,"10.3389/fimmu.2016.00464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006147261&doi=10.3389%2ffimmu.2016.00464&partnerID=40&md5=dfa528bea2febf44cec169973e7d4fe6","Immunology is the science of biological warfare between the defenses of our immune systems and offensive pathogenic microbes and cancers. Over the course of his scientific career, Eckhard R. Podack made several seminal discoveries that elucidated key aspects of this warfare at a molecular level. When Eckhard joined the complement laboratory of Müller-Eberhard in 1974, he was fascinated by two questions: (1) what is the molecular mechanism by which complement kills invasive bacteria? and (2) which one of the complement components is the killer molecule? Eckhard's quest to answer these questions would lead to the discovery C9 and later, two additional pore-forming killer molecules of the immune system. Here is a brief account of how he discovered poly-C9, the pore-forming protein of complement in blood and interstitial fluids: Perforin-1, expressed by natural killer cells and cytotoxic T lymphocytes; and Perforin-2 (MPEG1), expressed by all cell types examined to date. All the three killing systems are crucial for our survival and health. © 2016 Podack and Munson.","complement component C3; complement component C5b; complement component C6; complement component C7; complement component C8; complement component C9; decay accelerating factor; lymphotoxin; perforin; tumor necrosis factor; CD8+ T lymphocyte; cytotoxic T lymphocyte; electron microscopy; immunity; microorganism; natural killer cell; neoplasm; nonhuman; Review; ultracentrifugation"
"Freeley S., Kemper C., Le Friec G.","The “ins and outs” of complement-driven immune responses",2016,"10.1111/imr.12472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992450133&doi=10.1111%2fimr.12472&partnerID=40&md5=77a695736c92fa2e3f75b215f6552138","The complement system represents an evolutionary old and critical component of innate immunity where it forms the first line of defense against invading pathogens. Originally described as a heat-labile fraction of the serum responsible for the opsonization and subsequent lytic killing of bacteria, work over the last century firmly established complement as a key mediator of the general inflammatory response but also as an acknowledged vital bridge between innate and adaptive immunity. However, recent studies particularly spanning the last decade have provided new insights into the novel modes and locations of complement activation and highlighted unexpected additional biological functions for this ancient system, for example, in regulating basic processes of the cell. In this review, we will cover the current knowledge about complement’s established and novel roles in innate and adaptive immunity with a focus on the functional differences between serum circulating and intracellularly active complement and will describe and discuss the newly discovered cross-talks of complement with other cell effector systems particularly during T-cell induction and contraction. © 2016 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","alternative complement pathway C3 C5 convertase; classical complement pathway C3 C5 convertase; collectin; complement; complement component C1q; complement component C1r; complement component C1s; complement component C3a; complement component C3b; complement component C4a; complement component C4b; complement component C5a receptor; complement component C5b; complement component C6; complement component C7; complement component C8; complement factor H; complement membrane attack complex; complement receptor; cytokine; decay accelerating factor; endothelial leukocyte adhesion molecule 1; fibrinogen; ficolin; inflammasome; intercellular adhesion molecule 1; mannose binding lectin; membrane cofactor protein; properdin; vascular cell adhesion molecule 1; complement; plasma protein; adaptive immunity; autoimmune disease; B lymphocyte; chemotaxis; complement activation; complement alternative pathway; complement classical pathway; complement lectin pathway; complement system; dendritic cell; effector cell; erythrocyte; granulocyte; human; immune response; immunoregulation; inflammation; innate immunity; macrophage; monocyte; nonhuman; priority journal; Review; T lymphocyte; Th1 cell; adaptive immunity; animal; evolution; homeostasis; immunology; innate immunity; lymphocyte activation; Adaptive Immunity; Animals; Biological Evolution; Blood Proteins; Complement Activation; Complement System Proteins; Homeostasis; Humans; Immunity, Innate; Inflammation; Lymphocyte Activation; T-Lymphocytes"
"Martin M., Blom A.M.","Complement in removal of the dead – balancing inflammation",2016,"10.1111/imr.12462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992449530&doi=10.1111%2fimr.12462&partnerID=40&md5=8eeef0bc033725416f3ce8cde2cdfe00","Recognition and removal of apoptotic and necrotic cells must be efficient and highly controlled to avoid excessive inflammation and autoimmune responses to self. The complement system, a crucial part of innate immunity, plays an important role in this process. Thus, apoptotic and necrotic cells are recognized by complement initiators such as C1q, mannose binding lectin, ficolins, and properdin. This triggers complement activation and opsonization of cells with fragments of C3b, which enhances phagocytosis and thus ensures silent removal. Importantly, the process is tightly controlled by the binding of complement inhibitors C4b-binding protein and factor H, which attenuates late steps of complement activation and inflammation. Furthermore, factor H becomes actively internalized by apoptotic cells, where it catalyzes the cleavage of intracellular C3 to C3b. The intracellularly derived C3b additionally opsonizes the cell surface further supporting safe and fast clearance and thereby aids to prevent autoimmunity. Internalized factor H also binds nucleosomes and directs monocytes into production of anti-inflammatory cytokines upon phagocytosis of such complexes. Disturbances in the complement-mediated clearance of dying cells result in persistence of autoantigens and development of autoimmune diseases like systemic lupus erythematosus, and may also be involved in development of age-related macula degeneration. © 2016 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","autoantibody; autoantigen; calreticulin; classical complement pathway C3 C5 convertase; complement; complement component C1q; complement component C1q antibody; complement component C3; complement component C3a; complement component C3b; complement component C4b; complement component C4b binding protein; complement component C5a; complement component C5a receptor; complement component C5b; complement component C6; complement component C7; complement component C8; complement factor H; complement factor I; complement inhibitor; complement membrane attack complex; complement receptor; fibrinogen; ficolin; inflammasome; mannan binding lectin associated serine proteinase; mannose binding lectin; pentraxin 3; properdin; complement; complement factor H; age related macular degeneration; antigen presenting cell; apoptosis; autoimmune disease; complement activation; complement system; cytokine release; cytolysis; dendritic cell; human; immunological tolerance; inflammation; internalization; macrophage; molecular recognition; nonhuman; nucleosome; phagocytosis; priority journal; protein binding; Review; systemic lupus erythematosus; animal; immunology; inflammation; innate immunity; metabolism; monocyte; necrosis; phagocytosis; Animals; Apoptosis; Complement Activation; Complement Factor H; Complement System Proteins; Humans; Immunity, Innate; Inflammation; Lupus Erythematosus, Systemic; Monocytes; Necrosis; Phagocytosis"
"Morgan B.P., Walters D., Serna M., Bubeck D.","Terminal complexes of the complement system: new structural insights and their relevance to function",2016,"10.1111/imr.12461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992448042&doi=10.1111%2fimr.12461&partnerID=40&md5=fe97067c10b9be8f4783d172ddd14e4f","Complement is a key component of innate immunity in health and a powerful driver of inflammation and tissue injury in disease. The biological and pathological effects of complement activation are mediated by activation products. These come in two flavors: (i) proteolytic fragments of complement proteins (C3, C4, C5) generated during activation that bind specific receptors on target cells to mediate effects; (ii) the multimolecular membrane attack complex generated from the five terminal complement proteins that directly binds to and penetrates target cell membranes. Several recent publications have described structural insights that have changed perceptions of the nature of this membrane attack complex. This review will describe these recent advances in understanding of the structure of the membrane attack complex and its by-product the fluid-phase terminal complement complex and relate these new structural insights to functional consequences and cell responses to complement membrane attack. © 2016 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","calcium ion; CD59 antigen; clusterin; complement; complement component C3; complement component C4; complement component C5; complement component C5b; complement component C6; complement component C7; complement component C8; complement component C9; complement membrane attack complex; cyclic AMP; cytokine; G protein coupled receptor; immunoglobulin enhancer binding protein; inflammasome; interleukin 18; interleukin 1beta; phosphatidylinositol 3 kinase; phospholipase A2; phospholipase C; potassium ion; prostaglandin; prostaglandin synthase; protein kinase B; reactive oxygen metabolite; thrombospondin; vitronectin; complement; complement membrane attack complex; apoptosis; calcium transport; cell membrane; cell proliferation; cell survival; channel gating; complement activation; complement system; conformational transition; cytokine production; endocytosis; endoplasmic reticulum; human; inflammation; lipid raft; mutagenesis; nonhuman; priority journal; protein degradation; protein function; protein secondary structure; protein structure; Review; signal transduction; target cell; animal; complement activation; immunology; innate immunity; metabolism; protein conformation; structure activity relation; Animals; Cell Membrane; Complement Activation; Complement Membrane Attack Complex; Complement System Proteins; Humans; Immunity, Innate; Protein Conformation; Structure-Activity Relationship"
"Wang P., Lu Y., Wang T., Zhu Z., Li Q., Meng J., Su H., Johnson A.C., Sweetman A.J.","Coupled production and emission of short chain perfluoroalkyl acids from a fast developing fluorochemical industry: Evidence from yearly and seasonal monitoring in Daling River Basin, China",2016,"10.1016/j.envpol.2016.08.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991710785&doi=10.1016%2fj.envpol.2016.08.079&partnerID=40&md5=ad9d5f542ec7b55af059b18aec7a3804","Short chain perfluoroalkyl acids (PFAAs) have been developed since 2002 by the major manufacturers to replace the conventional C8 and higher homologues, with much of the world production shifted to China in recent years. In this study, we conducted a continuous monitoring program over the period 2011–2014 with seasonal monitoring in 2013 for PFAAs emitted from two rapidly developing fluorochemical industry parks located in the Daling River Basin, Northern China. The trend of PFAA contamination was identified, dominated by perfluorobutane sulfonic acid (PFBS), perfluorobutanoic acid (PFBA) and perfluorooctanoic acid (PFOA), with the maximum concentrations of 3.78 μg/L, 3.70 μg/L, and 1.95 μg/L, respectively. Seasonal monitoring uncovered the occasional emission of perfluorooctane sulfonic acid (PFOS). Construction trends of new facilities and associated manufacturing capacity of the main products were also analyzed to assess correlations with PFAA emissions. An assessment of the data over the period 2011–2014 found a positive correlation with fluorocarbon alcohol (FCA) production and emission of PFAAs. Groundwater and tap water around the main source indicated that the dominant PFAAs had different diffusion behaviors. PFBS levels were higher in surface water, while PFBA was dominant in groundwater and tap water, with PFOA levels being higher in downstream groundwater. Considering the continuous expansion and development of fluorochemical industry in the Daling River Basin, this study will provide abundant information on the effectiveness of risk assessment and management. © 2016 Elsevier Ltd","Chains; Groundwater; Manufacture; Rivers; Surface waters; Watersheds; PFBA; PFBS; PFOA; Seasonal trends; Yearly trend; Risk assessment; alcohol; fluorocarbon; fluorocarbon alcohol; ground water; haloacid; perfluoroalkane sulfonic acid; perfluoroalkyl acid; perfluoroalkyl carboxylic acid; perfluorobutane sulfonic acid; perfluorobutanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; river water; surface water; tap water; unclassified drug; water pollutant; emission; environmental monitoring; risk assessment; river pollution; seasonal variation; chemical industry; China; concentration (parameters); controlled study; diffusion; environmental monitoring; limit of detection; limit of quantitation; Review; seasonal variation; water contamination; water sampling; chemistry; environmental monitoring; procedures; time factor; water pollutant; China; Chemical Industry; China; Environmental Monitoring; Fluorocarbons; Time Factors; Water Pollutants, Chemical"
"Olivares-Rubio H.F., Vega-López A.","Fatty acid metabolism in fish species as a biomarker for environmental monitoring",2016,"10.1016/j.envpol.2016.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991409713&doi=10.1016%2fj.envpol.2016.07.005&partnerID=40&md5=d9fed871ec2d4cf8bafee294d501b769","Pollution by Organic Contaminants (OC) in aquatic environments is a relevant issue at the global scale. Lipids comprised of Fatty Acids (FA) play many important roles in the physiology and life history of fishes. Toxic effects of OC are partly dependent on its bioaccumulation in the lipids of aquatic organisms due its physicochemical properties. Therefore, there is an increasing interest to investigate the gene expression as well as the presence and activity of proteins involved in FA metabolism. The attention on Peroxisome Proliferation Activate Receptors (PPARs) also prevails in fish species exposed to OC and in the transport, biosynthesis and β-oxidation of FA. Several studies have been conducted under controlled conditions to evaluate these biological aspects of fish species exposed to OC, as fibrates, endocrine disrupting compounds, perfluoroalkyl acids, flame retardants, metals and mixtures of organic compounds associated with a polluted area. However, only fibrates, which are agonists of PPARs, induce biological responses suitable to be considered as biomarkers of exposure to these pollutants. According to the documented findings on this topic, it is unlikely that these physiological aspects are suitable to be employed as biomarkers with some noticeable exceptions, which depend on experimental design. This emphasises the need to investigate the responses in fish treated with mixtures of OC and in wild fish species from polluted areas to validate or refute the suitability of these biomarkers for environmental or fish health monitoring. © 2016 Elsevier Ltd","Aquatic organisms; Biochemistry; Biomarkers; Cytology; Endocrine disrupters; Fish; Flame retardants; Gene expression; Lipids; Metabolism; Mixtures; Physiology; Pollution; Aquatic environments; Controlled conditions; Endocrine disrupting compound; Environmental Monitoring; Fatty acid metabolism; Perfluoroalkyl acids; Physicochemical property; PPARs; Fatty acids; biological marker; endocrine disruptor; fibric acid derivative; flame retardant; peroxisome proliferator activated receptor; pesticide; plasticizer; biological marker; endocrine disruptor; fatty acid; fish protein; organic compound; peroxisome proliferator activated receptor; water pollutant; xenobiotic agent; biomarker; environmental monitoring; fatty acid; fish; metabolism; organic pollutant; physiological response; pollution exposure; bioaccumulation; concentration (parameters); controlled study; environmental exposure; environmental monitoring; fatty acid metabolism; fatty acid oxidation; fatty acid synthesis; fatty acid transport; fish; gene expression; hydrophobicity; nonhuman; physical chemistry; pollution monitoring; pollution transport; protein function; Review; water pollution; animal; drug effects; environmental monitoring; fish; lipid metabolism; metabolism; procedures; toxicity; water pollutant; Pisces; Animals; Biomarkers; Endocrine Disruptors; Environmental Monitoring; Fatty Acids; Fish Proteins; Fishes; Lipid Metabolism; Organic Chemicals; Peroxisome Proliferator-Activated Receptors; Water Pollutants, Chemical; Xenobiotics"
